ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
2,2,2,0.4933578073978424,0.49209022521972656,0.9306129217147827,0.06558248400688171
1,1,2,0.493865042924881,0.4906686842441559,0.5143259167671204,0.47298628091812134
1,1,2,0.5018752813339233,0.4936719536781311,0.524567723274231,0.46836912631988525
1,1,0,0.5049986839294434,0.4948166310787201,0.6337456703186035,0.36609697341918945
1,1,1,0.506994903087616,0.4920997619628906,0.7116349935531616,0.2872909903526306
1,1,1,0.47615864872932434,0.4600067436695099,0.531135082244873,0.4331238865852356
0,0,2,0.505018413066864,0.48709967732429504,0.49601390957832336,0.4959965646266937
2,2,2,0.5084008574485779,0.49023208022117615,0.5672681927680969,0.43068206310272217
1,1,2,0.5096213221549988,0.489956796169281,0.6144958138465881,0.38500991463661194
2,2,1,0.5095992684364319,0.4895651042461395,0.8546052575111389,0.14380091428756714
2,2,2,0.5090498924255371,0.4883989989757538,0.5156764984130859,0.4821808636188507
2,2,2,0.5097852945327759,0.4870373010635376,0.5554947257041931,0.440038800239563
0,0,2,0.35152894258499146,0.328605979681015,0.37095847725868225,0.31695571541786194
1,1,1,0.4923988878726959,0.46701541543006897,0.4974532425403595,0.47671493887901306
2,2,2,0.511375367641449,0.4850645959377289,0.7853838801383972,0.21116529405117035
1,1,1,0.5156377553939819,0.48277685046195984,0.8664789795875549,0.13163504004478455
0,0,0,0.5169984102249146,0.48284897208213806,0.7470768094062805,0.25250115990638733
1,1,2,0.5166484117507935,0.47934672236442566,0.5760573148727417,0.4202597141265869
1,1,2,0.5157219171524048,0.4782440960407257,0.5018965601921082,0.4888835847377777
1,1,2,0.49939900636672974,0.45906564593315125,0.5525934100151062,0.35449352860450745
1,1,1,0.5203230977058411,0.47890713810920715,0.5851698517799377,0.41422757506370544
1,1,1,0.5214989185333252,0.4776242971420288,0.6115326881408691,0.3876148760318756
2,2,2,0.5218529105186462,0.4776073396205902,0.5325981974601746,0.46675145626068115
1,1,0,0.5184615254402161,0.47371405363082886,0.5143454074859619,0.47711190581321716
2,2,2,0.4307745397090912,0.38551226258277893,0.3939971625804901,0.3711799681186676
0,0,0,0.5225257873535156,0.47665226459503174,0.5264118909835815,0.4730469882488251
2,2,2,0.5193198919296265,0.47149980068206787,0.5058320164680481,0.48399385809898376
1,1,1,0.5178702473640442,0.4696430563926697,0.5105815529823303,0.47501274943351746
1,1,1,0.5081800222396851,0.45913374423980713,0.7568212747573853,0.2317584604024887
2,2,1,0.5261372923851013,0.47264745831489563,0.5376148819923401,0.4615800380706787
0,0,0,0.526138424873352,0.4671511650085449,0.8638224005699158,0.1337563544511795
2,2,2,0.4387124180793762,0.3748992085456848,0.534796953201294,0.3516339063644409
2,2,2,0.5301974415779114,0.4663562476634979,0.7751783728599548,0.22009630501270294
0,0,0,0.5164349675178528,0.45189815759658813,0.5388626456260681,0.4397466778755188
1,1,1,0.5327680110931396,0.4667474329471588,0.5801324248313904,0.41937685012817383
1,1,2,0.532985270023346,0.4667659401893616,0.5186997056007385,0.4810391664505005
1,1,1,0.5334976315498352,0.46640005707740784,0.7797278761863708,0.2201787531375885
2,2,2,0.5279064178466797,0.46059706807136536,0.5950548052787781,0.3857671618461609
2,2,2,0.5346227288246155,0.46494707465171814,0.53900545835495,0.460698664188385
1,1,1,0.5352938175201416,0.46433722972869873,0.5020722150802612,0.49753230810165405
2,2,2,0.5353208184242249,0.4629097878932953,0.558517575263977,0.4393843710422516
1,1,1,0.5322117805480957,0.4558255076408386,0.5338262915611267,0.45421797037124634
2,2,1,0.5406427979469299,0.45865896344184875,0.5684178471565247,0.4308145344257355
2,2,2,0.5411765575408936,0.45806458592414856,0.8349831104278564,0.16476263105869293
2,2,1,0.5407841205596924,0.45717307925224304,0.5957798957824707,0.4017724394798279
0,0,0,0.5399828553199768,0.45599621534347534,0.5149324536323547,0.4815267026424408
1,1,1,0.5288574695587158,0.4446496367454529,0.7983831763267517,0.18580597639083862
0,0,0,0.4909139573574066,0.40447357296943665,0.606694757938385,0.3103872835636139
1,1,0,0.5429717898368835,0.455704927444458,0.6280525922775269,0.37066981196403503
1,1,1,0.5431939363479614,0.4555545449256897,0.9315136075019836,0.058804143220186234
1,1,1,0.543873131275177,0.4559226632118225,0.9779817461967468,0.017899159342050552
0,0,0,0.543948233127594,0.45563390851020813,0.5615447163581848,0.4381338357925415
0,0,1,0.5426290035247803,0.4541725218296051,0.8133611679077148,0.18434031307697296
2,2,1,0.48011887073516846,0.3884563446044922,0.7773054838180542,0.18834474682807922
1,1,1,0.4703432619571686,0.3785270154476166,0.5257111191749573,0.3577716648578644
