ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
2,2,2,0.4933578073978424,0.49209022521972656,0.4960786700248718,0.489611953496933
1,1,1,0.493865042924881,0.4906686842441559,0.5009158253669739,0.4836061894893646
1,1,1,0.5018752813339233,0.4936719536781311,0.4982437491416931,0.4971340596675873
1,1,1,0.5049986839294434,0.4948166310787201,0.5259190797805786,0.47389131784439087
1,1,1,0.506994903087616,0.4920997619628906,0.5018573999404907,0.49723443388938904
1,1,1,0.47615864872932434,0.4600067436695099,0.5000045895576477,0.43843644857406616
0,0,0,0.505018413066864,0.48709967732429504,0.5091671347618103,0.4829730987548828
2,2,2,0.5084008574485779,0.49023208022117615,0.5171224474906921,0.48156827688217163
1,1,1,0.5096213221549988,0.489956796169281,0.5045559406280518,0.4950186610221863
2,2,2,0.5095992684364319,0.4895651042461395,0.535593569278717,0.46360793709754944
2,2,1,0.5090498924255371,0.4883989989757538,0.49913865327835083,0.49823760986328125
2,2,2,0.5097852945327759,0.4870373010635376,0.5115593075752258,0.4852314591407776
0,0,0,0.35152894258499146,0.328605979681015,0.3534260392189026,0.33261263370513916
1,1,1,0.4923988878726959,0.46701541543006897,0.49399131536483765,0.4638218581676483
2,2,2,0.511375367641449,0.4850645959377289,0.49917322397232056,0.49718278646469116
1,1,1,0.5156377553939819,0.48277685046195984,0.514768660068512,0.48364803194999695
0,0,0,0.5169984102249146,0.48284897208213806,0.5332375168800354,0.46661001443862915
1,1,2,0.5166484117507935,0.47934672236442566,0.5105190873146057,0.48554039001464844
1,1,1,0.5157219171524048,0.4782440960407257,0.5194538831710815,0.47465401887893677
1,1,0,0.49939900636672974,0.45906564593315125,0.5307095646858215,0.43133240938186646
1,1,1,0.5203230977058411,0.47890713810920715,0.5196506381034851,0.47959089279174805
1,1,1,0.5214989185333252,0.4776242971420288,0.5246590375900269,0.4744493365287781
2,2,2,0.5218529105186462,0.4776073396205902,0.5218679308891296,0.4775899052619934
1,1,0,0.5184615254402161,0.47371405363082886,0.517723798751831,0.4748821258544922
2,2,2,0.4307745397090912,0.38551226258277893,0.4212713837623596,0.39294177293777466
0,0,0,0.5225257873535156,0.47665226459503174,0.5130579471588135,0.4860823452472687
