ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
2,2,2,0.4933578073978424,0.49209022521972656,0.5378439426422119,0.44973450899124146
1,1,2,0.493865042924881,0.4906686842441559,0.5489116907119751,0.43902766704559326
1,1,2,0.5018752813339233,0.4936719536781311,0.6281790733337402,0.3671296238899231
1,1,0,0.5049986839294434,0.4948166310787201,0.5276775360107422,0.47209540009498596
1,1,1,0.506994903087616,0.4920997619628906,0.536537230014801,0.4624936878681183
1,1,2,0.47615864872932434,0.4600067436695099,0.4676934778690338,0.46180468797683716
0,0,0,0.505018413066864,0.48709967732429504,0.6078484654426575,0.3849474787712097
2,2,2,0.5084008574485779,0.49023208022117615,0.7649675607681274,0.23220740258693695
1,1,1,0.5096213221549988,0.489956796169281,0.9685503840446472,0.031273841857910156
2,2,2,0.5095992684364319,0.4895651042461395,0.673198401927948,0.32619646191596985
2,2,2,0.5090498924255371,0.4883989989757538,0.579600989818573,0.4185163974761963
2,2,1,0.5097852945327759,0.4870373010635376,0.5355310440063477,0.46178537607192993
0,0,2,0.35152894258499146,0.328605979681015,0.46570730209350586,0.2972606420516968
1,1,1,0.4923988878726959,0.46701541543006897,0.6023792028427124,0.3265598714351654
2,2,2,0.511375367641449,0.4850645959377289,0.7496105432510376,0.24542368948459625
1,1,2,0.5156377553939819,0.48277685046195984,0.6675764322280884,0.33021828532218933
0,0,1,0.5169984102249146,0.48284897208213806,0.7287230491638184,0.2711244225502014
1,1,2,0.5166484117507935,0.47934672236442566,0.6367700099945068,0.35982730984687805
1,1,1,0.5157219171524048,0.4782440960407257,0.5507152676582336,0.43623706698417664
1,1,0,0.49939900636672974,0.45906564593315125,0.731840193271637,0.2406652420759201
1,1,2,0.5203230977058411,0.47890713810920715,0.5019770860671997,0.49686816334724426
1,1,1,0.5214989185333252,0.4776242971420288,0.5412000417709351,0.4579433500766754
2,2,1,0.5218529105186462,0.4776073396205902,0.543644905090332,0.455606073141098
1,1,0,0.5184615254402161,0.47371405363082886,0.8974617123603821,0.096526138484478
2,2,0,0.4307745397090912,0.38551226258277893,0.5316293239593506,0.33159834146499634
0,0,0,0.5225257873535156,0.47665226459503174,0.559475839138031,0.4398071765899658
2,2,2,0.5193198919296265,0.47149980068206787,0.5321873426437378,0.45761173963546753
1,1,1,0.5178702473640442,0.4696430563926697,0.6432018876075745,0.30665621161460876
1,1,0,0.5081800222396851,0.45913374423980713,0.6422808766365051,0.3218700587749481
2,2,2,0.5261372923851013,0.47264745831489563,0.5379533171653748,0.46052515506744385
0,0,0,0.526138424873352,0.4671511650085449,0.6623839735984802,0.33236175775527954
2,2,2,0.4387124180793762,0.3748992085456848,0.9386508464813232,0.047455865889787674
2,2,1,0.5301974415779114,0.4663562476634979,0.641613781452179,0.3546927273273468
0,0,2,0.5164349675178528,0.45189815759658813,0.8502678275108337,0.1174602136015892
1,1,1,0.5327680110931396,0.4667474329471588,0.8647712469100952,0.13489316403865814
1,1,2,0.532985270023346,0.4667659401893616,0.771920382976532,0.22786985337734222
1,1,2,0.5334976315498352,0.46640005707740784,0.5027801394462585,0.49712130427360535
2,2,1,0.5279064178466797,0.46059706807136536,0.5425605773925781,0.4412844777107239
2,2,1,0.5346227288246155,0.46494707465171814,0.5503692626953125,0.44910457730293274
1,1,1,0.5352938175201416,0.46433722972869873,0.8105105757713318,0.18910042941570282
2,2,2,0.5353208184242249,0.4629097878932953,0.8966997265815735,0.09844943881034851
1,1,1,0.5322117805480957,0.4558255076408386,0.6376582384109497,0.3531155288219452
2,2,2,0.5406427979469299,0.45865896344184875,0.636971652507782,0.3622162342071533
2,2,2,0.5411765575408936,0.45806458592414856,0.7156034111976624,0.2837503254413605
2,2,2,0.5407841205596924,0.45717307925224304,0.5941047668457031,0.40371793508529663
0,0,1,0.5399828553199768,0.45599621534347534,0.66228848695755,0.32817524671554565
1,1,2,0.5288574695587158,0.4446496367454529,0.6942576766014099,0.25629404187202454
0,0,2,0.4909139573574066,0.40447357296943665,0.7768980264663696,0.17821870744228363
1,1,1,0.5429717898368835,0.455704927444458,0.6924459934234619,0.305935800075531
1,1,0,0.5431939363479614,0.4555545449256897,0.7147192358970642,0.2840639352798462
1,1,1,0.543873131275177,0.4559226632118225,0.7881629467010498,0.21163621544837952
0,0,0,0.543948233127594,0.45563390851020813,0.7604050636291504,0.23924043774604797
0,0,0,0.5426290035247803,0.4541725218296051,0.705942690372467,0.29196038842201233
2,2,2,0.48011887073516846,0.3884563446044922,0.7447230219841003,0.22826828062534332
1,1,1,0.4703432619571686,0.3785270154476166,0.4556005299091339,0.4138820469379425
1,1,1,0.5435386896133423,0.45037606358528137,0.6524872183799744,0.3362707495689392
1,1,0,0.5437770485877991,0.44992128014564514,0.8939102292060852,0.09941309690475464
1,1,1,0.5353049635887146,0.44061583280563354,0.5702659487724304,0.40249642729759216
0,0,0,0.5441814661026001,0.44913721084594727,0.5736274719238281,0.41977062821388245
2,2,1,0.4704761803150177,0.37027841806411743,0.4604620933532715,0.3382628560066223
2,2,2,0.5505484342575073,0.447496235370636,0.667296290397644,0.3307112157344818
1,1,2,0.5459498167037964,0.4424281120300293,0.5842617154121399,0.40830180048942566
1,1,1,0.5487013459205627,0.44329193234443665,0.9575533866882324,0.04006427153944969
1,1,2,0.5519707202911377,0.4457363486289978,0.6530851125717163,0.3450982868671417
1,1,1,0.5255797505378723,0.41762369871139526,0.6208993792533875,0.32149988412857056
1,1,1,0.5542398691177368,0.4454808235168457,0.5659633278846741,0.433717280626297
2,2,0,0.5513125061988831,0.440091073513031,0.6449573040008545,0.3462584614753723
1,1,1,0.5535216331481934,0.4416557848453522,0.7717512249946594,0.22176741063594818
1,1,1,0.5216482281684875,0.40944498777389526,0.4689687490463257,0.4679834246635437
2,2,2,0.5559792518615723,0.4435681998729706,0.5424730777740479,0.4570700228214264
1,1,1,0.5552828311920166,0.44213128089904785,0.6392333507537842,0.3586442768573761
1,1,1,0.5554003715515137,0.4416690766811371,0.6888439655303955,0.30839991569519043
1,1,2,0.5572219491004944,0.4424179494380951,0.608854353427887,0.3871147930622101
1,1,0,0.556571900844574,0.43959110975265503,0.49908506870269775,0.49708157777786255
1,1,1,0.535307765007019,0.41550153493881226,0.6227911114692688,0.2985707223415375
1,1,1,0.5434522032737732,0.4236353635787964,0.7891834378242493,0.17309987545013428
0,0,0,0.42883673310279846,0.3066461682319641,0.38054874539375305,0.3097432851791382
2,2,2,0.5613522529602051,0.43805018067359924,0.5591766238212585,0.4402007460594177
2,2,2,0.5580343008041382,0.433579683303833,0.7384619116783142,0.25370892882347107
2,2,2,0.5501405596733093,0.42390212416648865,0.5771787166595459,0.4064389765262604
2,2,2,0.5243198275566101,0.3976658284664154,0.9014784097671509,0.08327220380306244
2,2,2,0.564480721950531,0.43487685918807983,0.6859002709388733,0.3136710822582245
2,2,2,0.5646694898605347,0.43467843532562256,0.6699175834655762,0.32951629161834717
2,2,2,0.5645084977149963,0.4338400363922119,0.5653282403945923,0.43347445130348206
1,1,2,0.5650647878646851,0.4342345595359802,0.776569664478302,0.22297735512256622
1,1,1,0.5655407309532166,0.4336000680923462,0.5015913844108582,0.49786797165870667
