ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
2,2,2,0.4933578073978424,0.49209022521972656,0.49337032437324524,0.492080420255661
1,1,1,0.493865042924881,0.4906686842441559,0.4938851594924927,0.4906424582004547
1,1,1,0.5018752813339233,0.4936719536781311,0.5018635392189026,0.4936836361885071
1,1,1,0.5049986839294434,0.4948166310787201,0.5051106810569763,0.49470463395118713
1,1,1,0.506994903087616,0.4920997619628906,0.506996214389801,0.4920984208583832
1,1,1,0.47615864872932434,0.4600067436695099,0.47601771354675293,0.4601896405220032
0,0,0,0.505018413066864,0.48709967732429504,0.5050168037414551,0.48710110783576965
2,2,2,0.5084008574485779,0.49023208022117615,0.508404552936554,0.4902283847332001
1,1,1,0.5096213221549988,0.489956796169281,0.5094640851020813,0.49011409282684326
2,2,2,0.5095992684364319,0.4895651042461395,0.5096042156219482,0.4895603656768799
2,2,2,0.5090498924255371,0.4883989989757538,0.5089501738548279,0.4884983003139496
2,2,2,0.5097852945327759,0.4870373010635376,0.5097395181655884,0.48708316683769226
0,0,0,0.35152894258499146,0.328605979681015,0.3515211045742035,0.3286117613315582
1,1,1,0.4923988878726959,0.46701541543006897,0.4923831820487976,0.46703290939331055
2,2,2,0.511375367641449,0.4850645959377289,0.5113845467567444,0.48505574464797974
1,1,1,0.5156377553939819,0.48277685046195984,0.5155035853385925,0.4829121232032776
0,0,0,0.5169984102249146,0.48284897208213806,0.5170884728431702,0.4827589690685272
1,1,1,0.5166484117507935,0.47934672236442566,0.5166879892349243,0.4793078601360321
1,1,1,0.5157219171524048,0.4782440960407257,0.515729546546936,0.47823673486709595
1,1,1,0.49939900636672974,0.45906564593315125,0.49950435757637024,0.45897603034973145
1,1,1,0.5203230977058411,0.47890713810920715,0.5203474164009094,0.4788825213909149
1,1,1,0.5214989185333252,0.4776242971420288,0.5213125944137573,0.47781074047088623
2,2,2,0.5218529105186462,0.4776073396205902,0.5218437314033508,0.47761648893356323
1,1,1,0.5184615254402161,0.47371405363082886,0.5180225968360901,0.47414761781692505
2,2,2,0.4307745397090912,0.38551226258277893,0.4307745397090912,0.38551226258277893
0,0,0,0.5225257873535156,0.47665226459503174,0.5223991870880127,0.4767787456512451
2,2,2,0.5193198919296265,0.47149980068206787,0.5193077921867371,0.47151291370391846
1,1,1,0.5178702473640442,0.4696430563926697,0.5179623365402222,0.4695581793785095
1,1,1,0.5081800222396851,0.45913374423980713,0.5082222819328308,0.4590928554534912
2,2,2,0.5261372923851013,0.47264745831489563,0.5260885953903198,0.47269588708877563
0,0,0,0.526138424873352,0.4671511650085449,0.5261059403419495,0.46718183159828186
2,2,2,0.4387124180793762,0.3748992085456848,0.4387505054473877,0.3747641146183014
2,2,2,0.5301974415779114,0.4663562476634979,0.5301944017410278,0.46635913848876953
0,0,0,0.5164349675178528,0.45189815759658813,0.5164353847503662,0.4518975615501404
1,1,1,0.5327680110931396,0.4667474329471588,0.5328899025917053,0.4666255712509155
1,1,1,0.532985270023346,0.4667659401893616,0.5329919457435608,0.4667593240737915
1,1,1,0.5334976315498352,0.46640005707740784,0.533481240272522,0.4664165675640106
2,2,2,0.5279064178466797,0.46059706807136536,0.5279154181480408,0.4605879485607147
2,2,2,0.5346227288246155,0.46494707465171814,0.5346314311027527,0.46493837237358093
1,1,1,0.5352938175201416,0.46433722972869873,0.5353332757949829,0.4642975926399231
2,2,2,0.5353208184242249,0.4629097878932953,0.5355393290519714,0.4626915752887726
1,1,1,0.5322117805480957,0.4558255076408386,0.5322483777999878,0.45579034090042114
2,2,2,0.5406427979469299,0.45865896344184875,0.5406368374824524,0.4586648941040039
2,2,2,0.5411765575408936,0.45806458592414856,0.5407963395118713,0.45844534039497375
2,2,2,0.5407841205596924,0.45717307925224304,0.5408161282539368,0.4571409523487091
0,0,0,0.5399828553199768,0.45599621534347534,0.5398925542831421,0.4560866057872772
1,1,1,0.5288574695587158,0.4446496367454529,0.5290014147758484,0.444539338350296
0,0,0,0.4909139573574066,0.40447357296943665,0.4909350872039795,0.40445056557655334
1,1,1,0.5429717898368835,0.455704927444458,0.5429832935333252,0.45569348335266113
1,1,1,0.5431939363479614,0.4555545449256897,0.543195903301239,0.4555526077747345
1,1,1,0.543873131275177,0.4559226632118225,0.5441437363624573,0.45565202832221985
0,0,0,0.543948233127594,0.45563390851020813,0.5439385771751404,0.4556436240673065
0,0,0,0.5426290035247803,0.4541725218296051,0.5426622629165649,0.4541413486003876
2,2,2,0.48011887073516846,0.3884563446044922,0.4801219403743744,0.38845404982566833
1,1,1,0.4703432619571686,0.3785270154476166,0.4701675474643707,0.37854981422424316
1,1,1,0.5435386896133423,0.45037606358528137,0.5435286164283752,0.4503858983516693
1,1,1,0.5437770485877991,0.44992128014564514,0.5437770485877991,0.44992128014564514
1,1,1,0.5353049635887146,0.44061583280563354,0.5353142619132996,0.44060641527175903
0,0,0,0.5441814661026001,0.44913721084594727,0.5442023873329163,0.4491173028945923
2,2,2,0.4704761803150177,0.37027841806411743,0.4704887866973877,0.37026509642601013
2,2,2,0.5505484342575073,0.447496235370636,0.5505991578102112,0.44744518399238586
1,1,1,0.5459498167037964,0.4424281120300293,0.5459400415420532,0.4424384534358978
1,1,1,0.5487013459205627,0.44329193234443665,0.5486916899681091,0.443301796913147
1,1,1,0.5519707202911377,0.4457363486289978,0.5515535473823547,0.4461493194103241
1,1,1,0.5255797505378723,0.41762369871139526,0.5254364013671875,0.4177935719490051
1,1,1,0.5542398691177368,0.4454808235168457,0.5542371273040771,0.44548359513282776
2,2,2,0.5513125061988831,0.440091073513031,0.5512925982475281,0.44011086225509644
1,1,1,0.5535216331481934,0.4416557848453522,0.5535216331481934,0.4416557848453522
1,1,1,0.5216482281684875,0.40944498777389526,0.5214144587516785,0.40960121154785156
2,2,2,0.5559792518615723,0.4435681998729706,0.5559778213500977,0.4435696601867676
1,1,1,0.5552828311920166,0.44213128089904785,0.5552549362182617,0.4421590566635132
1,1,1,0.5554003715515137,0.4416690766811371,0.5554033517837524,0.44166597723960876
1,1,1,0.5572219491004944,0.4424179494380951,0.557219386100769,0.4424205422401428
1,1,1,0.556571900844574,0.43959110975265503,0.556534469127655,0.4396283030509949
1,1,1,0.535307765007019,0.41550153493881226,0.5353131890296936,0.4154979884624481
1,1,1,0.5434522032737732,0.4236353635787964,0.5434522032737732,0.4236353635787964
0,0,0,0.42883673310279846,0.3066461682319641,0.4288061559200287,0.3066529929637909
2,2,2,0.5613522529602051,0.43805018067359924,0.5613522529602051,0.43805018067359924
2,2,2,0.5580343008041382,0.433579683303833,0.5580354332923889,0.43357959389686584
2,2,2,0.5501405596733093,0.42390212416648865,0.5501412749290466,0.423900306224823
2,2,2,0.5243198275566101,0.3976658284664154,0.5243096351623535,0.3977074921131134
2,2,2,0.564480721950531,0.43487685918807983,0.564462423324585,0.4348951578140259
2,2,2,0.5646694898605347,0.43467843532562256,0.5647215843200684,0.43462643027305603
2,2,2,0.5645084977149963,0.4338400363922119,0.5645609498023987,0.43378758430480957
1,1,1,0.5650647878646851,0.4342345595359802,0.5651329159736633,0.4341663718223572
1,1,1,0.5655407309532166,0.4336000680923462,0.5656761527061462,0.43346431851387024
0,0,0,0.5587952733039856,0.42208266258239746,0.5588011145591736,0.4220779836177826
0,0,0,0.5699137449264526,0.4298011362552643,0.5699306726455688,0.42978420853614807
1,1,1,0.5743728876113892,0.42506736516952515,0.574420690536499,0.425019770860672
2,2,2,0.4397062063217163,0.2866184711456299,0.43991759419441223,0.2866060137748718
1,1,1,0.5765990614891052,0.42265942692756653,0.5765988826751709,0.42265957593917847
1,1,1,0.5712242126464844,0.4166102111339569,0.5711728930473328,0.4166594445705414
2,2,2,0.5162452459335327,0.3569180965423584,0.5161730051040649,0.3569839298725128
1,1,1,0.5723575353622437,0.4120510220527649,0.5718269944190979,0.4125833213329315
2,2,2,0.5792331695556641,0.41756170988082886,0.5794169306755066,0.41737666726112366
1,1,1,0.5500955581665039,0.3877566456794739,0.5498304963111877,0.3881896436214447
2,2,2,0.5735678672790527,0.4100080728530884,0.573573112487793,0.41000258922576904
2,2,2,0.5643566250801086,0.4003560543060303,0.5644128918647766,0.40030667185783386
2,2,2,0.5832401514053345,0.4161102771759033,0.5832401514053345,0.4161102771759033
1,1,1,0.5399625897407532,0.37083056569099426,0.540077269077301,0.37072715163230896
0,0,0,0.5852767825126648,0.4139416217803955,0.5852789878845215,0.4139394760131836
0,0,0,0.5861556529998779,0.41332390904426575,0.5860637426376343,0.4134156107902527
2,2,2,0.5868369936943054,0.412823349237442,0.5867987871170044,0.4128613770008087
1,1,1,0.5856661200523376,0.4091377854347229,0.5859172940254211,0.40888094902038574
2,2,2,0.5882946848869324,0.410318523645401,0.5882805585861206,0.410332590341568
1,1,1,0.5906739234924316,0.4083448350429535,0.5906739234924316,0.4083448350429535
1,1,1,0.5921552777290344,0.4071791172027588,0.5920096635818481,0.4073247015476227
1,1,1,0.5928409099578857,0.40636202692985535,0.5928696990013123,0.40633338689804077
2,2,2,0.5959081053733826,0.40248215198516846,0.5959098935127258,0.4024803340435028
2,2,2,0.5950924754142761,0.40059614181518555,0.5950924754142761,0.40059614181518555
1,1,1,0.5386055707931519,0.3422354757785797,0.5386040806770325,0.34223806858062744
1,1,1,0.5486912131309509,0.35221362113952637,0.5487247705459595,0.35221540927886963
1,1,1,0.5942837595939636,0.39696455001831055,0.5942837595939636,0.39696455001831055
1,1,1,0.598520815372467,0.4009653329849243,0.5984969735145569,0.4009894132614136
1,1,1,0.5863243937492371,0.38767534494400024,0.5868695974349976,0.38710248470306396
0,0,0,0.5970988869667053,0.3967403471469879,0.5970944762229919,0.3967449963092804
1,1,1,0.522059440612793,0.31887611746788025,0.5220569372177124,0.3188815414905548
2,2,2,0.5379815101623535,0.33411768078804016,0.5380131602287292,0.33408719301223755
2,2,2,0.5909218788146973,0.38663187623023987,0.5909239053726196,0.3866299092769623
2,2,2,0.6021581292152405,0.3970833122730255,0.602200984954834,0.3970407545566559
2,2,2,0.6034215092658997,0.3964826166629791,0.6034058928489685,0.39649832248687744
1,1,1,0.6037284731864929,0.39534392952919006,0.6037284731864929,0.39534392952919006
0,0,0,0.6020702123641968,0.39295125007629395,0.6020199060440063,0.39300069212913513
0,0,0,0.6027424931526184,0.3927532136440277,0.6027958989143372,0.3927023410797119
1,1,1,0.6043286919593811,0.3933559060096741,0.6042917966842651,0.393392950296402
0,0,0,0.6055026650428772,0.39290860295295715,0.6054800748825073,0.3929310142993927
0,0,0,0.5981302261352539,0.3852434456348419,0.598133385181427,0.3852404057979584
1,1,1,0.605802059173584,0.39136600494384766,0.6058409810066223,0.39132723212242126
0,0,0,0.6072492599487305,0.39256373047828674,0.6072980761528015,0.3925149738788605
2,2,2,0.606280505657196,0.38741588592529297,0.606280505657196,0.38741588592529297
1,1,1,0.5999312996864319,0.37955325841903687,0.5998799800872803,0.3796001970767975
