ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
2,2,1,0.4933578073978424,0.49209022521972656,0.49266430735588074,0.49260640144348145
1,1,1,0.493865042924881,0.4906686842441559,0.5034977197647095,0.4812068045139313
1,1,1,0.5018752813339233,0.4936719536781311,0.5500890016555786,0.44624432921409607
1,1,0,0.5049986839294434,0.4948166310787201,0.509146511554718,0.4906824231147766
1,1,1,0.506994903087616,0.4920997619628906,0.5590268969535828,0.43998777866363525
1,1,2,0.47615864872932434,0.4600067436695099,0.4912621080875397,0.4470252990722656
0,0,2,0.505018413066864,0.48709967732429504,0.5206624865531921,0.47135257720947266
2,2,1,0.5084008574485779,0.49023208022117615,0.5188611745834351,0.48003265261650085
1,1,2,0.5096213221549988,0.489956796169281,0.5005488991737366,0.4990447163581848
2,2,1,0.5095992684364319,0.4895651042461395,0.5146217346191406,0.4844955503940582
2,2,2,0.5090498924255371,0.4883989989757538,0.5248638391494751,0.47273024916648865
2,2,2,0.5097852945327759,0.4870373010635376,0.5175036787986755,0.4794529378414154
0,0,0,0.35152894258499146,0.328605979681015,0.39470311999320984,0.30906596779823303
1,1,1,0.4923988878726959,0.46701541543006897,0.5055432319641113,0.45026353001594543
2,2,1,0.511375367641449,0.4850645959377289,0.5745378136634827,0.42206206917762756
1,1,1,0.5156377553939819,0.48277685046195984,0.5140924453735352,0.484334260225296
0,0,0,0.5169984102249146,0.48284897208213806,0.5316720604896545,0.4681777358055115
1,1,1,0.5166484117507935,0.47934672236442566,0.5300837755203247,0.4659421145915985
1,1,1,0.5157219171524048,0.4782440960407257,0.49732378125190735,0.4968815743923187
1,1,1,0.49939900636672974,0.45906564593315125,0.48390069603919983,0.4723292887210846
1,1,1,0.5203230977058411,0.47890713810920715,0.5397112369537354,0.4594917595386505
1,1,1,0.5214989185333252,0.4776242971420288,0.52931809425354,0.46978044509887695
2,2,2,0.5218529105186462,0.4776073396205902,0.5349130034446716,0.4645557701587677
1,1,0,0.5184615254402161,0.47371405363082886,0.5244175791740417,0.4677581489086151
2,2,2,0.4307745397090912,0.38551226258277893,0.45795920491218567,0.3516266942024231
0,0,0,0.5225257873535156,0.47665226459503174,0.5619484782218933,0.43726062774658203
2,2,2,0.5193198919296265,0.47149980068206787,0.5055156350135803,0.48489442467689514
1,1,1,0.5178702473640442,0.4696430563926697,0.5160534977912903,0.47206974029541016
1,1,1,0.5081800222396851,0.45913374423980713,0.5122524499893188,0.4576073884963989
2,2,2,0.5261372923851013,0.47264745831489563,0.5384003520011902,0.4603794515132904
0,0,0,0.526138424873352,0.4671511650085449,0.60560142993927,0.3872981071472168
2,2,2,0.4387124180793762,0.3748992085456848,0.4610461890697479,0.37197521328926086
2,2,2,0.5301974415779114,0.4663562476634979,0.5421621203422546,0.4545287489891052
0,0,0,0.5164349675178528,0.45189815759658813,0.5645154118537903,0.4068191647529602
