ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
0,0,2,0.3656066358089447,0.36528974771499634,0.36571410298347473,0.36551591753959656
0,0,0,0.40284091234207153,0.4021015167236328,0.4029005169868469,0.40197956562042236
1,1,1,0.48879408836364746,0.48482948541641235,0.4887026250362396,0.4849017560482025
0,0,0,0.4708605706691742,0.4660893976688385,0.47141164541244507,0.46545007824897766
2,2,2,0.5026315450668335,0.49658456444740295,0.5029599070549011,0.49625667929649353
0,0,0,0.49842095375061035,0.49108174443244934,0.4984574317932129,0.49104177951812744
1,1,1,0.47215399146080017,0.4647449553012848,0.47252118587493896,0.4643342196941376
0,0,0,0.49599021673202515,0.48761340975761414,0.4960997998714447,0.48749399185180664
0,0,0,0.41369783878326416,0.4049220085144043,0.4137013852596283,0.40485242009162903
1,1,1,0.4461338222026825,0.43617549538612366,0.44638338685035706,0.43607649207115173
1,1,1,0.502493679523468,0.4909134805202484,0.5024914741516113,0.4909156560897827
0,0,0,0.4196253716945648,0.4056306481361389,0.41940954327583313,0.40603819489479065
0,0,0,0.4360353648662567,0.4197901487350464,0.4358721077442169,0.42011186480522156
1,1,1,0.507887065410614,0.4910767078399658,0.5079819560050964,0.4909812808036804
1,1,1,0.4254513084888458,0.407701313495636,0.4253474175930023,0.4077167809009552
1,1,1,0.4687179625034332,0.45011788606643677,0.4686024487018585,0.45024359226226807
1,1,1,0.4740477204322815,0.454569011926651,0.47372058033943176,0.45491403341293335
1,1,1,0.5083668828010559,0.4880526661872864,0.5083016157150269,0.48811858892440796
2,2,2,0.4628629684448242,0.44163140654563904,0.46278074383735657,0.44171085953712463
1,1,1,0.4909043610095978,0.46910208463668823,0.49053531885147095,0.46948158740997314
0,0,0,0.45785295963287354,0.43544039130210876,0.457769513130188,0.43557196855545044
1,1,1,0.44037193059921265,0.4170939028263092,0.44038859009742737,0.4170890152454376
1,1,1,0.49156638979911804,0.4679161310195923,0.49138152599334717,0.46811819076538086
2,2,2,0.48537904024124146,0.46111252903938293,0.4856109023094177,0.4608986973762512
0,0,0,0.5053768157958984,0.4809485077857971,0.5055031776428223,0.48081690073013306
2,2,2,0.5124808549880981,0.48708581924438477,0.5113728642463684,0.48819249868392944
0,0,0,0.5118604898452759,0.4858960807323456,0.5119399428367615,0.48581573367118835
0,0,0,0.51264888048172,0.4865136444568634,0.5123364925384521,0.4868273138999939
2,2,2,0.5080858469009399,0.4815303683280945,0.5079612135887146,0.48165157437324524
1,1,1,0.3929659426212311,0.36587581038475037,0.39306876063346863,0.365864098072052
1,1,1,0.5125745534896851,0.48534640669822693,0.5134931206703186,0.4844225347042084
