ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
0,0,0,0.36560651659965515,0.36528944969177246,0.36474862694740295,0.3636995255947113
0,0,0,0.4028412103652954,0.40210065245628357,0.40302610397338867,0.40178239345550537
1,1,0,0.4887935221195221,0.48482996225357056,0.48906806111335754,0.48510774970054626
0,0,0,0.4708607792854309,0.46608930826187134,0.47028061747550964,0.4645509719848633
2,2,2,0.5026317834854126,0.49658432602882385,0.5063913464546204,0.49281176924705505
0,0,0,0.4984210729598999,0.4910816252231598,0.4979945123195648,0.4915054142475128
1,1,1,0.472152978181839,0.4647460877895355,0.47315695881843567,0.46273088455200195
0,0,0,0.4959900379180908,0.4876134991645813,0.4972056448459625,0.48638227581977844
0,0,1,0.41369855403900146,0.40492141246795654,0.4106963574886322,0.4072640538215637
1,1,1,0.44613346457481384,0.43617621064186096,0.4421432912349701,0.4396168291568756
1,1,1,0.502493143081665,0.4909140169620514,0.5013887882232666,0.4920264184474945
0,0,0,0.4196254014968872,0.4056309163570404,0.4205779433250427,0.4040099084377289
0,0,0,0.43603500723838806,0.41979071497917175,0.43769317865371704,0.41799554228782654
1,1,1,0.5078873038291931,0.4910764694213867,0.5081683397293091,0.49079465866088867
1,1,1,0.4254511296749115,0.40770086646080017,0.4266704320907593,0.4065873622894287
1,1,1,0.4687170684337616,0.45011889934539795,0.46867087483406067,0.45015305280685425
1,1,1,0.4740476608276367,0.454569011926651,0.48005467653274536,0.45169511437416077
1,1,1,0.5083661675453186,0.4880533814430237,0.5088002681732178,0.48762139678001404
2,2,2,0.4628630578517914,0.4416312277317047,0.45933759212493896,0.44641736149787903
1,1,1,0.4909045398235321,0.4691018760204315,0.48784399032592773,0.474056214094162
0,0,0,0.45785316824913025,0.4354403018951416,0.4584486484527588,0.43486273288726807
1,1,1,0.4403718411922455,0.41709405183792114,0.4390975832939148,0.4176436960697174
1,1,1,0.4915664494037628,0.4679161310195923,0.4952876567840576,0.4645593464374542
2,2,2,0.48537978529930115,0.4611118733882904,0.4846777021884918,0.4621905982494354
0,0,0,0.5053769946098328,0.4809482991695404,0.506409764289856,0.47994670271873474
2,2,2,0.512480616569519,0.48708605766296387,0.5147891044616699,0.48477619886398315
0,0,0,0.5118594169616699,0.48589715361595154,0.5103976726531982,0.487411767244339
0,0,0,0.5126495361328125,0.4865129590034485,0.5117045044898987,0.48745739459991455
2,2,2,0.5080859661102295,0.48153024911880493,0.5061279535293579,0.48349159955978394
1,1,1,0.39296603202819824,0.3658756613731384,0.3929648697376251,0.3668922781944275
1,1,1,0.5125752091407776,0.4853457510471344,0.5191120505332947,0.4787779450416565
1,1,1,0.5105069279670715,0.4828869700431824,0.5120840668678284,0.48128417134284973
2,2,2,0.5032810568809509,0.4740994870662689,0.5033103823661804,0.4740585684776306
0,0,0,0.37816178798675537,0.34734663367271423,0.3776485025882721,0.34722068905830383
1,1,1,0.5119312405586243,0.4802788496017456,0.5119358897209167,0.4802722930908203
2,2,2,0.5104296207427979,0.47857046127319336,0.5123885869979858,0.47668930888175964
0,0,0,0.41280072927474976,0.38090530037879944,0.41209158301353455,0.38090619444847107
2,2,2,0.3680283725261688,0.33609405159950256,0.38611215353012085,0.33376234769821167
1,1,1,0.47035714983940125,0.43718549609184265,0.4761492609977722,0.4302893877029419
0,0,0,0.5098010301589966,0.4762413799762726,0.51312655210495,0.47299402952194214
1,1,1,0.4812471866607666,0.4471573531627655,0.48582521080970764,0.44393810629844666
0,0,0,0.38043805956840515,0.34610530734062195,0.3825668692588806,0.34377747774124146
1,1,1,0.5023574233055115,0.46745726466178894,0.5046155452728271,0.4652668535709381
0,0,0,0.4650123119354248,0.4299814999103546,0.46506381034851074,0.42967525124549866
1,1,1,0.5123687386512756,0.4773200750350952,0.5146937966346741,0.47504922747612
0,0,0,0.5017218589782715,0.4658687114715576,0.5024339556694031,0.46526291966438293
2,2,2,0.47489291429519653,0.43888092041015625,0.47650206089019775,0.4377304017543793
0,0,0,0.5082410573959351,0.4721476137638092,0.5616838335990906,0.4225560128688812
0,0,0,0.38396015763282776,0.3478509783744812,0.38233333826065063,0.3490637242794037
0,0,0,0.43846315145492554,0.4021378457546234,0.439151793718338,0.404603511095047
1,1,1,0.5007622838020325,0.46435582637786865,0.5029784440994263,0.46217629313468933
0,0,0,0.5116463899612427,0.4743503928184509,0.5115382075309753,0.4743921756744385
2,2,2,0.47648489475250244,0.4389251470565796,0.4888514578342438,0.4262877106666565
1,1,1,0.5160932540893555,0.47847500443458557,0.5162005424499512,0.47833940386772156
2,2,2,0.5165225267410278,0.47843310236930847,0.5185548663139343,0.47633546590805054
1,1,1,0.5156704783439636,0.4771903455257416,0.5171687602996826,0.4756709337234497
2,2,2,0.4156199097633362,0.37682831287384033,0.4133182168006897,0.3790353834629059
1,1,1,0.5114817023277283,0.472629576921463,0.511060893535614,0.4730064272880554
0,0,0,0.44442880153656006,0.40557292103767395,0.44356316328048706,0.4061996042728424
1,1,1,0.4181477725505829,0.37851598858833313,0.4191945493221283,0.3794552981853485
0,0,0,0.5017425417900085,0.4619850814342499,0.5015161037445068,0.46220648288726807
1,1,1,0.40509676933288574,0.3652420938014984,0.40500158071517944,0.36543476581573486
0,0,0,0.5175925493240356,0.4776128828525543,0.5188159942626953,0.47638341784477234
1,1,1,0.5102426409721375,0.4702185392379761,0.5103269815444946,0.4701226055622101
2,2,2,0.4097546637058258,0.368526816368103,0.4154908061027527,0.364246129989624
2,2,2,0.5127779841423035,0.47129735350608826,0.5130133628845215,0.47104138135910034
0,0,0,0.4594219923019409,0.41678547859191895,0.4586661756038666,0.41688022017478943
1,1,1,0.5114988088607788,0.4683174788951874,0.512192964553833,0.4676103889942169
1,1,1,0.5186046361923218,0.4747743308544159,0.5186513662338257,0.4747176468372345
1,1,1,0.43145087361335754,0.3875485062599182,0.43129780888557434,0.3874852955341339
1,1,1,0.477882981300354,0.43378591537475586,0.4783361554145813,0.43303996324539185
1,1,1,0.5080598592758179,0.463265597820282,0.5082212090492249,0.46302682161331177
2,2,2,0.4942052364349365,0.44923344254493713,0.49866408109664917,0.4451585114002228
1,1,1,0.5228191018104553,0.4770441949367523,0.520556628704071,0.4793068468570709
1,1,1,0.5069238543510437,0.4606900215148926,0.5078949332237244,0.45952630043029785
1,1,1,0.4507714509963989,0.4040473997592926,0.49468016624450684,0.36962613463401794
1,1,1,0.4882271885871887,0.44104406237602234,0.48753979802131653,0.44148141145706177
2,2,2,0.5039082169532776,0.4563234746456146,0.5027391910552979,0.45738208293914795
0,0,0,0.49002909660339355,0.44243118166923523,0.496906042098999,0.43791958689689636
