ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
0,0,2,0.36560651659965515,0.36528944969177246,0.3654981851577759,0.3649919629096985
0,0,2,0.4028412103652954,0.40210065245628357,0.40594616532325745,0.399577796459198
1,1,1,0.4887935221195221,0.48482996225357056,0.48783257603645325,0.48594337701797485
0,0,0,0.4708607792854309,0.46608930826187134,0.47094669938087463,0.4659033715724945
2,2,2,0.5026317834854126,0.49658432602882385,0.5015235543251038,0.4976927936077118
0,0,0,0.4984210729598999,0.4910816252231598,0.4985765218734741,0.4909120202064514
1,1,2,0.472152978181839,0.4647460877895355,0.469443142414093,0.46871432662010193
0,0,0,0.4959900379180908,0.4876134991645813,0.4961819052696228,0.48741886019706726
0,0,1,0.41369855403900146,0.40492141246795654,0.41299471259117126,0.40563809871673584
1,1,1,0.44613346457481384,0.43617621064186096,0.4470198452472687,0.43558087944984436
1,1,1,0.502493143081665,0.4909140169620514,0.504378616809845,0.48904258012771606
0,0,0,0.4196254014968872,0.4056309163570404,0.4197368025779724,0.4055405557155609
0,0,0,0.43603500723838806,0.41979071497917175,0.4365345537662506,0.4189370572566986
1,1,1,0.5078873038291931,0.4910764694213867,0.5077173709869385,0.4912433922290802
1,1,1,0.4254511296749115,0.40770086646080017,0.42570677399635315,0.40705054998397827
1,1,1,0.4687170684337616,0.45011889934539795,0.4669731855392456,0.4524017572402954
1,1,1,0.4740476608276367,0.454569011926651,0.4753074049949646,0.45313560962677
1,1,1,0.5083661675453186,0.4880533814430237,0.508531928062439,0.4878959357738495
2,2,2,0.4628630578517914,0.4416312277317047,0.46387627720832825,0.44068706035614014
1,1,1,0.4909045398235321,0.4691018760204315,0.49425503611564636,0.4651910364627838
0,0,0,0.45785316824913025,0.4354403018951416,0.4566044807434082,0.43696126341819763
1,1,1,0.4403718411922455,0.41709405183792114,0.4396148920059204,0.4170055091381073
1,1,1,0.4915664494037628,0.4679161310195923,0.4911487102508545,0.46833381056785583
2,2,2,0.48537978529930115,0.4611118733882904,0.4852588176727295,0.4612058997154236
0,0,0,0.5053769946098328,0.4809482991695404,0.4966214597225189,0.48959943652153015
