ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
0,0,2,0.36560651659965515,0.36528944969177246,0.3648877441883087,0.36400076746940613
0,0,2,0.4028412103652954,0.40210065245628357,0.40809088945388794,0.39804431796073914
1,1,0,0.4887935221195221,0.48482996225357056,0.48688647150993347,0.48678871989250183
0,0,2,0.4708607792854309,0.46608930826187134,0.47085919976234436,0.4662834405899048
2,2,2,0.5026317834854126,0.49658432602882385,0.5025829672813416,0.496633917093277
0,0,0,0.4984210729598999,0.4910816252231598,0.5001534223556519,0.48931410908699036
1,1,1,0.472152978181839,0.4647460877895355,0.46952512860298157,0.4677376449108124
0,0,0,0.4959900379180908,0.4876134991645813,0.49911850690841675,0.4835655093193054
0,0,0,0.41369855403900146,0.40492141246795654,0.41286700963974,0.40527674555778503
1,1,1,0.44613346457481384,0.43617621064186096,0.4450798034667969,0.43725520372390747
1,1,1,0.502493143081665,0.4909140169620514,0.4999341368675232,0.49349141120910645
0,0,0,0.4196254014968872,0.4056309163570404,0.41912972927093506,0.4057830274105072
0,0,0,0.43603500723838806,0.41979071497917175,0.4320333003997803,0.4237115979194641
1,1,1,0.5078873038291931,0.4910764694213867,0.510845422744751,0.48811954259872437
1,1,1,0.4254511296749115,0.40770086646080017,0.4251870810985565,0.40597110986709595
1,1,1,0.4687170684337616,0.45011889934539795,0.46706610918045044,0.451842725276947
1,1,1,0.4740476608276367,0.454569011926651,0.47034549713134766,0.4587595760822296
1,1,1,0.5083661675453186,0.4880533814430237,0.5064588785171509,0.4899459481239319
2,2,2,0.4628630578517914,0.4416312277317047,0.4525830149650574,0.44887882471084595
1,1,1,0.4909045398235321,0.4691018760204315,0.49721759557724,0.46004465222358704
0,0,0,0.45785316824913025,0.4354403018951416,0.4531934857368469,0.43857306241989136
1,1,1,0.4403718411922455,0.41709405183792114,0.44078436493873596,0.41661176085472107
1,1,1,0.4915664494037628,0.4679161310195923,0.4902583062648773,0.46942538022994995
2,2,2,0.48537978529930115,0.4611118733882904,0.48429957032203674,0.46166253089904785
0,0,0,0.5053769946098328,0.4809482991695404,0.5040561556816101,0.48206862807273865
2,2,2,0.512480616569519,0.48708605766296387,0.5117218494415283,0.48784318566322327
0,0,0,0.5118594169616699,0.48589715361595154,0.5060924291610718,0.491671085357666
0,0,0,0.5126495361328125,0.4865129590034485,0.5081622004508972,0.49101194739341736
2,2,2,0.5080859661102295,0.48153024911880493,0.5095679759979248,0.48007166385650635
