ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
678,678,837,0.13930273056030273,0.13920480012893677,0.1393594592809677,0.13791416585445404
695,695,507,0.1384744793176651,0.13830184936523438,0.14281032979488373,0.13603775203227997
222,222,222,0.15910275280475616,0.15870586037635803,0.16052712500095367,0.15879391133785248
443,443,443,0.18272465467453003,0.1822139024734497,0.18247884511947632,0.18185248970985413
618,618,618,0.44878944754600525,0.44812527298927307,0.4487837255001068,0.44736847281455994
485,485,485,0.24006201326847076,0.23921255767345428,0.2400505244731903,0.23920977115631104
173,173,173,0.2538919746875763,0.25301021337509155,0.2530226707458496,0.2489551603794098
68,68,68,0.4153372645378113,0.41444382071495056,0.41929891705513,0.4099641740322113
501,501,501,0.12342086434364319,0.12245636433362961,0.12382201850414276,0.12243495136499405
848,848,848,0.3572547137737274,0.35628604888916016,0.35728392004966736,0.35631248354911804
806,806,806,0.10690851509571075,0.10586360096931458,0.10977379977703094,0.10465812683105469
66,66,68,0.380869597196579,0.3796304762363434,0.38409531116485596,0.3760327696800232
845,845,845,0.40057164430618286,0.3993198275566101,0.39980950951576233,0.39940041303634644
202,202,202,0.27212175726890564,0.2707979679107666,0.27157333493232727,0.2657638490200043
74,74,74,0.24747997522354126,0.24614761769771576,0.24842098355293274,0.2479587197303772
710,710,710,0.3462362587451935,0.3444935977458954,0.34599149227142334,0.3443906009197235
891,891,891,0.16691121459007263,0.16505642235279083,0.1679568588733673,0.1646001636981964
428,428,743,0.15252462029457092,0.15052305161952972,0.15110494196414948,0.15092110633850098
541,541,541,0.3917575180530548,0.3894241750240326,0.3927654027938843,0.3889636695384979
711,711,711,0.19334231317043304,0.19068875908851624,0.19549007713794708,0.1888139247894287
711,711,711,0.13421130180358887,0.13151077926158905,0.1329469382762909,0.13062717020511627
124,124,124,0.3448490798473358,0.34214097261428833,0.344852477312088,0.34216243028640747
348,348,348,0.44919562339782715,0.44628435373306274,0.449179083108902,0.4462713301181793
541,541,541,0.14829890429973602,0.14498408138751984,0.15229596197605133,0.14580784738063812
858,858,858,0.13898827135562897,0.13565568625926971,0.13906438648700714,0.13566701114177704
909,909,909,0.2194060981273651,0.2159252166748047,0.2202444076538086,0.21566011011600494
634,634,634,0.10928986221551895,0.10569723695516586,0.11017483472824097,0.10832014679908752
926,926,926,0.41353440284729004,0.4096761643886566,0.41317445039749146,0.4102461636066437
965,965,965,0.42938777804374695,0.4254940152168274,0.42982152104377747,0.4236443042755127
529,529,529,0.2546362280845642,0.25066396594047546,0.25638964772224426,0.25130778551101685
311,311,311,0.4080926775932312,0.4039927124977112,0.40818819403648376,0.4035796523094177
541,541,843,0.1750001460313797,0.1707926094532013,0.17326882481575012,0.17164358496665955
848,848,848,0.4344012439250946,0.43019118905067444,0.4343402087688446,0.43002575635910034
731,731,731,0.28750234842300415,0.2831524908542633,0.28813159465789795,0.28308552503585815
926,926,926,0.3115285634994507,0.3071732521057129,0.3166515827178955,0.304242879152298
62,62,62,0.29810798168182373,0.29344022274017334,0.2965925633907318,0.2937014400959015
623,623,623,0.2593599259853363,0.254555881023407,0.2589966356754303,0.25530487298965454
664,664,664,0.3802306354045868,0.37542614340782166,0.3798941373825073,0.3757365345954895
987,987,987,0.45427393913269043,0.4494364559650421,0.4542712867259979,0.44941580295562744
926,926,926,0.22348791360855103,0.2185651808977127,0.22344093024730682,0.21856674551963806
587,587,587,0.2781282365322113,0.27304255962371826,0.277780145406723,0.2730318307876587
264,264,264,0.4557657837867737,0.45061320066452026,0.45603248476982117,0.45014822483062744
660,660,660,0.3990238308906555,0.3936937749385834,0.3989630341529846,0.3944782018661499
843,843,843,0.42510977387428284,0.41969695687294006,0.42585405707359314,0.4183918535709381
725,725,725,0.4413440525531769,0.43591737747192383,0.43996408581733704,0.4372998774051666
923,923,923,0.17031458020210266,0.16475480794906616,0.1690588742494583,0.16419152915477753
656,656,656,0.3723205327987671,0.3665265440940857,0.37108471989631653,0.3700008988380432
229,229,229,0.37339767813682556,0.3673416078090668,0.3751676678657532,0.3645683825016022
478,478,478,0.07026443630456924,0.06420497596263885,0.0717872604727745,0.06577622145414352
884,884,884,0.3326002359390259,0.32627278566360474,0.33298274874687195,0.3258526027202606
698,698,698,0.40238067507743835,0.39593347907066345,0.40856847167015076,0.3904768228530884
638,638,638,0.4013916850090027,0.39494526386260986,0.40091949701309204,0.39454275369644165
623,623,623,0.3550625741481781,0.3477649390697479,0.3557893931865692,0.3469368815422058
524,524,524,0.35147106647491455,0.3440137803554535,0.3506203889846802,0.34594184160232544
836,836,836,0.21053075790405273,0.20302152633666992,0.2076469510793686,0.20308922231197357
639,639,639,0.4117390811443329,0.40418484807014465,0.41128861904144287,0.40362945199012756
740,740,740,0.41405653953552246,0.4064873158931732,0.41401103138923645,0.409665584564209
817,817,817,0.42424747347831726,0.41659286618232727,0.43176862597465515,0.4096539616584778
968,968,968,0.44258007407188416,0.4347078502178192,0.4405926465988159,0.43615949153900146
848,848,848,0.2824256718158722,0.27444368600845337,0.28274792432785034,0.2763487696647644
113,113,113,0.3252604305744171,0.3172706663608551,0.32107120752334595,0.319793701171875
751,751,751,0.38816574215888977,0.3800768256187439,0.38793912529945374,0.3799969553947449
358,358,358,0.38230645656585693,0.3742170035839081,0.3808545172214508,0.37477028369903564
473,473,473,0.20058752596378326,0.19246992468833923,0.20175984501838684,0.1909600794315338
453,453,453,0.41335824131965637,0.4050150215625763,0.41365715861320496,0.40473663806915283
643,643,643,0.17227914929389954,0.1636180430650711,0.1701313555240631,0.16557984054088593
380,380,380,0.4216430187225342,0.4129462242126465,0.4220380187034607,0.4123075008392334
632,632,632,0.2469107210636139,0.23820553719997406,0.24634619057178497,0.23850326240062714
168,168,168,0.39136776328086853,0.38263750076293945,0.38996627926826477,0.38426873087882996
961,961,961,0.30331411957740784,0.29437965154647827,0.2993069887161255,0.2965652346611023
475,475,475,0.4277648329734802,0.41882434487342834,0.4305742084980011,0.41669410467147827
732,732,732,0.20704185962677002,0.19806291162967682,0.20709870755672455,0.1980033963918686
823,823,823,0.14818120002746582,0.13886624574661255,0.14869992434978485,0.13846200704574585
453,453,453,0.29967111349105835,0.2898222804069519,0.2997399866580963,0.2912829518318176
752,752,752,0.09391287714242935,0.08385500311851501,0.0947609692811966,0.08421972393989563
369,369,369,0.16782057285308838,0.1576601266860962,0.17153045535087585,0.15858808159828186
696,696,696,0.17750488221645355,0.1672164350748062,0.1774313747882843,0.1675715148448944
49,49,49,0.29773852229118347,0.2873668372631073,0.2990366220474243,0.2881007790565491
818,818,818,0.1060974970459938,0.09539341181516647,0.10484916716814041,0.09640738368034363
648,648,648,0.24419716000556946,0.2334756702184677,0.2442627102136612,0.23361176252365112
155,155,155,0.35982978343963623,0.34907442331314087,0.3585185408592224,0.35060009360313416
204,204,204,0.3604067862033844,0.3495861887931824,0.3585420548915863,0.35048189759254456
636,636,636,0.3711271584033966,0.360267698764801,0.37173956632614136,0.36019137501716614
998,998,998,0.4287109076976776,0.41753125190734863,0.42816829681396484,0.4173743724822998
784,784,784,0.17788366973400116,0.1665596216917038,0.17681509256362915,0.16643865406513214
318,318,318,0.20817342400550842,0.19668643176555634,0.20836412906646729,0.1966327279806137
753,753,753,0.35053497552871704,0.3390411138534546,0.3505488336086273,0.3390076756477356
970,970,970,0.13399021327495575,0.1224527433514595,0.13824224472045898,0.12573176622390747
578,578,578,0.2735387682914734,0.26189368963241577,0.2731967866420746,0.2625279128551483
633,633,633,0.0869351401925087,0.07521546632051468,0.08699069917201996,0.07519233226776123
