ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
678,678,678,0.13930273056030273,0.13920480012893677,0.1735014170408249,0.13769365847110748
695,695,695,0.1384744793176651,0.13830184936523438,0.13781845569610596,0.12251049280166626
222,222,258,0.15910275280475616,0.15870586037635803,0.1952539086341858,0.17445313930511475
443,443,618,0.18272465467453003,0.1822139024734497,0.20046348869800568,0.15999369323253632
618,618,813,0.44878944754600525,0.44812527298927307,0.4664769172668457,0.42870673537254333
485,485,485,0.24006201326847076,0.23921255767345428,0.2581976354122162,0.23455338180065155
173,173,253,0.2538919746875763,0.25301021337509155,0.2539336383342743,0.2429579198360443
68,68,68,0.4153372645378113,0.41444382071495056,0.4165274500846863,0.4145401120185852
501,501,501,0.12342086434364319,0.12245636433362961,0.13865844905376434,0.10851473361253738
848,848,482,0.3572547137737274,0.35628604888916016,0.36275094747543335,0.3455915153026581
806,806,655,0.10690851509571075,0.10586360096931458,0.10959965735673904,0.10633836686611176
66,66,68,0.380869597196579,0.3796304762363434,0.3759024143218994,0.3716434836387634
845,845,828,0.40057164430618286,0.3993198275566101,0.42309755086898804,0.36995619535446167
202,202,202,0.27212175726890564,0.2707979679107666,0.2656588554382324,0.2621411383152008
74,74,74,0.24747997522354126,0.24614761769771576,0.2560936212539673,0.24486440420150757
710,710,710,0.3462362587451935,0.3444935977458954,0.36139580607414246,0.34210917353630066
891,891,909,0.16691121459007263,0.16505642235279083,0.17517611384391785,0.15932026505470276
428,428,743,0.15252462029457092,0.15052305161952972,0.15668654441833496,0.13983765244483948
541,541,541,0.3917575180530548,0.3894241750240326,0.39581483602523804,0.3932510316371918
711,711,711,0.19334231317043304,0.19068875908851624,0.18113523721694946,0.17592279613018036
711,711,503,0.13421130180358887,0.13151077926158905,0.13549788296222687,0.12776455283164978
124,124,124,0.3448490798473358,0.34214097261428833,0.3573596179485321,0.3357476592063904
348,348,349,0.44919562339782715,0.44628435373306274,0.44916749000549316,0.44499465823173523
541,541,541,0.14829890429973602,0.14498408138751984,0.15045057237148285,0.14819131791591644
858,858,858,0.13898827135562897,0.13565568625926971,0.14409908652305603,0.1343584656715393
909,909,868,0.2194060981273651,0.2159252166748047,0.24766986072063446,0.19117985665798187
634,634,634,0.10928986221551895,0.10569723695516586,0.11788566410541534,0.09843668341636658
926,926,909,0.41353440284729004,0.4096761643886566,0.44854453206062317,0.3891340494155884
965,965,965,0.42938777804374695,0.4254940152168274,0.4402869641780853,0.41404032707214355
529,529,529,0.2546362280845642,0.25066396594047546,0.27682390809059143,0.22171005606651306
311,311,311,0.4080926775932312,0.4039927124977112,0.41199538111686707,0.39805614948272705
541,541,541,0.1750001460313797,0.1707926094532013,0.17938260734081268,0.1665411740541458
848,848,848,0.4344012439250946,0.43019118905067444,0.4331590235233307,0.432310551404953
731,731,463,0.28750234842300415,0.2831524908542633,0.279086172580719,0.250605970621109
926,926,926,0.3115285634994507,0.3071732521057129,0.3063390254974365,0.30617213249206543
62,62,62,0.29810798168182373,0.29344022274017334,0.2994006276130676,0.297306627035141
623,623,623,0.2593599259853363,0.254555881023407,0.278867244720459,0.24390003085136414
664,664,664,0.3802306354045868,0.37542614340782166,0.3766627907752991,0.35661613941192627
987,987,987,0.45427393913269043,0.4494364559650421,0.4537642002105713,0.4522603452205658
926,926,544,0.22348791360855103,0.2185651808977127,0.2211271971464157,0.21273809671401978
587,587,696,0.2781282365322113,0.27304255962371826,0.27248987555503845,0.26416265964508057
264,264,264,0.4557657837867737,0.45061320066452026,0.45659083127975464,0.45107603073120117
660,660,660,0.3990238308906555,0.3936937749385834,0.3983716070652008,0.39004507660865784
843,843,488,0.42510977387428284,0.41969695687294006,0.4271795153617859,0.41789761185646057
725,725,899,0.4413440525531769,0.43591737747192383,0.4402148425579071,0.4375324249267578
923,923,925,0.17031458020210266,0.16475480794906616,0.205209881067276,0.1823289543390274
656,656,757,0.3723205327987671,0.3665265440940857,0.4079369306564331,0.32741913199424744
229,229,202,0.37339767813682556,0.3673416078090668,0.3727812170982361,0.36517342925071716
478,478,478,0.07026443630456924,0.06420497596263885,0.06711868941783905,0.06541939079761505
884,884,406,0.3326002359390259,0.32627278566360474,0.3420809805393219,0.3202102780342102
698,698,832,0.40238067507743835,0.39593347907066345,0.4005855619907379,0.39562609791755676
638,638,639,0.4013916850090027,0.39494526386260986,0.4066152274608612,0.4061846435070038
623,623,777,0.3550625741481781,0.3477649390697479,0.37643423676490784,0.32623666524887085
524,524,524,0.35147106647491455,0.3440137803554535,0.379942923784256,0.32751378417015076
836,836,836,0.21053075790405273,0.20302152633666992,0.18583035469055176,0.180400550365448
639,639,639,0.4117390811443329,0.40418484807014465,0.42862626910209656,0.39159369468688965
740,740,784,0.41405653953552246,0.4064873158931732,0.4297901391983032,0.4095313549041748
817,817,817,0.42424747347831726,0.41659286618232727,0.4354221522808075,0.40648674964904785
968,968,968,0.44258007407188416,0.4347078502178192,0.4590672254562378,0.4214908182621002
848,848,848,0.2824256718158722,0.27444368600845337,0.2896179258823395,0.2819150984287262
113,113,113,0.3252604305744171,0.3172706663608551,0.3541204631328583,0.3267715871334076
751,751,479,0.38816574215888977,0.3800768256187439,0.41924336552619934,0.37116843461990356
358,358,358,0.38230645656585693,0.3742170035839081,0.3823162615299225,0.3759220838546753
473,473,473,0.20058752596378326,0.19246992468833923,0.19032838940620422,0.18792559206485748
453,453,453,0.41335824131965637,0.4050150215625763,0.3993064761161804,0.3975779116153717
643,643,490,0.17227914929389954,0.1636180430650711,0.20783625543117523,0.15849174559116364
380,380,382,0.4216430187225342,0.4129462242126465,0.42711031436920166,0.40817776322364807
632,632,632,0.2469107210636139,0.23820553719997406,0.24858015775680542,0.23724423348903656
168,168,168,0.39136776328086853,0.38263750076293945,0.39356204867362976,0.3746175765991211
961,961,961,0.30331411957740784,0.29437965154647827,0.29299160838127136,0.2910853624343872
475,475,475,0.4277648329734802,0.41882434487342834,0.44045498967170715,0.4112529754638672
732,732,732,0.20704185962677002,0.19806291162967682,0.20350217819213867,0.1890282779932022
823,823,650,0.14818120002746582,0.13886624574661255,0.15183322131633759,0.1467258334159851
453,453,453,0.29967111349105835,0.2898222804069519,0.30636876821517944,0.3054400384426117
752,752,752,0.09391287714242935,0.08385500311851501,0.09379751980304718,0.08628828078508377
369,369,369,0.16782057285308838,0.1576601266860962,0.18620622158050537,0.13080638647079468
696,696,696,0.17750488221645355,0.1672164350748062,0.1799030303955078,0.1707724779844284
49,49,49,0.29773852229118347,0.2873668372631073,0.3238207697868347,0.27710670232772827
818,818,545,0.1060974970459938,0.09539341181516647,0.1078241765499115,0.1075705960392952
648,648,760,0.24419716000556946,0.2334756702184677,0.2740897834300995,0.20095454156398773
155,155,155,0.35982978343963623,0.34907442331314087,0.36036109924316406,0.3567185699939728
204,204,204,0.3604067862033844,0.3495861887931824,0.3640459179878235,0.3581468164920807
636,636,748,0.3711271584033966,0.360267698764801,0.38082343339920044,0.3609117567539215
998,998,998,0.4287109076976776,0.41753125190734863,0.4303695261478424,0.4201751947402954
784,784,587,0.17788366973400116,0.1665596216917038,0.17959898710250854,0.1701400876045227
318,318,319,0.20817342400550842,0.19668643176555634,0.23951564729213715,0.17503371834754944
753,753,753,0.35053497552871704,0.3390411138534546,0.3649146854877472,0.3301003575325012
970,970,970,0.13399021327495575,0.1224527433514595,0.13382916152477264,0.1235794797539711
578,578,578,0.2735387682914734,0.26189368963241577,0.2865501046180725,0.22835400700569153
633,633,633,0.0869351401925087,0.07521546632051468,0.08351530134677887,0.0666603222489357
