ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
678,678,837,0.13930273056030273,0.13920480012893677,0.14047619700431824,0.13854582607746124
695,695,507,0.1384744793176651,0.13830184936523438,0.13951991498470306,0.1394645720720291
222,222,222,0.15910275280475616,0.15870586037635803,0.15853434801101685,0.15813511610031128
443,443,618,0.18272465467453003,0.1822139024734497,0.18543119728565216,0.18048261106014252
618,618,813,0.44878944754600525,0.44812527298927307,0.45169731974601746,0.44514116644859314
485,485,485,0.24006201326847076,0.23921255767345428,0.240504652261734,0.23913230001926422
173,173,253,0.2538919746875763,0.25301021337509155,0.25337082147598267,0.2530519366264343
68,68,68,0.4153372645378113,0.41444382071495056,0.4149499237537384,0.41315603256225586
501,501,399,0.12342086434364319,0.12245636433362961,0.12564215064048767,0.12110085040330887
848,848,848,0.3572547137737274,0.35628604888916016,0.35716086626052856,0.35637083649635315
806,806,806,0.10690851509571075,0.10586360096931458,0.10716905444860458,0.10486139357089996
66,66,66,0.380869597196579,0.3796304762363434,0.3813016712665558,0.37936264276504517
845,845,845,0.40057164430618286,0.3993198275566101,0.39917096495628357,0.3989759385585785
202,202,266,0.27212175726890564,0.2707979679107666,0.2726286053657532,0.27141502499580383
74,74,74,0.24747997522354126,0.24614761769771576,0.24780522286891937,0.2460310012102127
710,710,710,0.3462362587451935,0.3444935977458954,0.34507763385772705,0.34332704544067383
891,891,909,0.16691121459007263,0.16505642235279083,0.16717000305652618,0.16071677207946777
428,428,428,0.15252462029457092,0.15052305161952972,0.15528889000415802,0.15030016005039215
541,541,541,0.3917575180530548,0.3894241750240326,0.39080342650413513,0.3904201090335846
711,711,711,0.19334231317043304,0.19068875908851624,0.19341008365154266,0.19062185287475586
711,711,711,0.13421130180358887,0.13151077926158905,0.13408203423023224,0.1307402402162552
124,124,124,0.3448490798473358,0.34214097261428833,0.346711128950119,0.34439659118652344
348,348,348,0.44919562339782715,0.44628435373306274,0.449047714471817,0.4463484585285187
541,541,541,0.14829890429973602,0.14498408138751984,0.1478765457868576,0.14536036550998688
858,858,858,0.13898827135562897,0.13565568625926971,0.1389627903699875,0.1366407424211502
909,909,868,0.2194060981273651,0.2159252166748047,0.21903909742832184,0.21797946095466614
634,634,634,0.10928986221551895,0.10569723695516586,0.11039077490568161,0.10535796731710434
926,926,926,0.41353440284729004,0.4096761643886566,0.4136064946651459,0.4103928506374359
965,965,965,0.42938777804374695,0.4254940152168274,0.4278561770915985,0.4271968901157379
529,529,529,0.2546362280845642,0.25066396594047546,0.2533418536186218,0.2515913248062134
311,311,311,0.4080926775932312,0.4039927124977112,0.40747785568237305,0.40594035387039185
541,541,541,0.1750001460313797,0.1707926094532013,0.17961615324020386,0.1650567501783371
848,848,848,0.4344012439250946,0.43019118905067444,0.43459147214889526,0.43143776059150696
731,731,731,0.28750234842300415,0.2831524908542633,0.2888794243335724,0.28072264790534973
926,926,926,0.3115285634994507,0.3071732521057129,0.3109264075756073,0.31018999218940735
62,62,62,0.29810798168182373,0.29344022274017334,0.303145170211792,0.2919765114784241
623,623,623,0.2593599259853363,0.254555881023407,0.2593652009963989,0.2552451491355896
664,664,664,0.3802306354045868,0.37542614340782166,0.3801272511482239,0.37399524450302124
987,987,987,0.45427393913269043,0.4494364559650421,0.45481076836586,0.4487457871437073
926,926,926,0.22348791360855103,0.2185651808977127,0.22435563802719116,0.2160002589225769
587,587,587,0.2781282365322113,0.27304255962371826,0.2762009799480438,0.2743195593357086
264,264,264,0.4557657837867737,0.45061320066452026,0.4559910297393799,0.4506811499595642
660,660,660,0.3990238308906555,0.3936937749385834,0.39990609884262085,0.39565813541412354
843,843,843,0.42510977387428284,0.41969695687294006,0.42385023832321167,0.4206392168998718
725,725,725,0.4413440525531769,0.43591737747192383,0.4408102333545685,0.4363507628440857
923,923,925,0.17031458020210266,0.16475480794906616,0.17148080468177795,0.16912680864334106
656,656,656,0.3723205327987671,0.3665265440940857,0.370887815952301,0.36768126487731934
229,229,202,0.37339767813682556,0.3673416078090668,0.37072551250457764,0.36791136860847473
478,478,478,0.07026443630456924,0.06420497596263885,0.07105890661478043,0.06309601664543152
884,884,884,0.3326002359390259,0.32627278566360474,0.34370356798171997,0.31644195318222046
698,698,698,0.40238067507743835,0.39593347907066345,0.40115347504615784,0.39692673087120056
638,638,638,0.4013916850090027,0.39494526386260986,0.4016211926937103,0.3945426046848297
623,623,623,0.3550625741481781,0.3477649390697479,0.3523542284965515,0.3509795367717743
524,524,524,0.35147106647491455,0.3440137803554535,0.35253480076789856,0.3440248370170593
836,836,836,0.21053075790405273,0.20302152633666992,0.19838717579841614,0.19384069740772247
639,639,639,0.4117390811443329,0.40418484807014465,0.40758904814720154,0.4064401090145111
740,740,740,0.41405653953552246,0.4064873158931732,0.412922203540802,0.3999786972999573
817,817,817,0.42424747347831726,0.41659286618232727,0.42267149686813354,0.4183763861656189
968,968,968,0.44258007407188416,0.4347078502178192,0.44068285822868347,0.4367745816707611
848,848,848,0.2824256718158722,0.27444368600845337,0.28233253955841064,0.27567869424819946
113,113,113,0.3252604305744171,0.3172706663608551,0.32615670561790466,0.31678780913352966
751,751,751,0.38816574215888977,0.3800768256187439,0.3886232376098633,0.3801562488079071
358,358,358,0.38230645656585693,0.3742170035839081,0.38156434893608093,0.37432679533958435
473,473,473,0.20058752596378326,0.19246992468833923,0.19643634557724,0.19640319049358368
453,453,453,0.41335824131965637,0.4050150215625763,0.41158485412597656,0.40780511498451233
643,643,643,0.17227914929389954,0.1636180430650711,0.17793865501880646,0.12956854701042175
380,380,380,0.4216430187225342,0.4129462242126465,0.42170974612236023,0.41255414485931396
632,632,632,0.2469107210636139,0.23820553719997406,0.24723079800605774,0.23791252076625824
168,168,168,0.39136776328086853,0.38263750076293945,0.4055976867675781,0.37152108550071716
961,961,961,0.30331411957740784,0.29437965154647827,0.30276498198509216,0.29681074619293213
475,475,475,0.4277648329734802,0.41882434487342834,0.4315105378627777,0.4166463315486908
732,732,732,0.20704185962677002,0.19806291162967682,0.2060072273015976,0.19958510994911194
823,823,823,0.14818120002746582,0.13886624574661255,0.1512223333120346,0.13953977823257446
453,453,453,0.29967111349105835,0.2898222804069519,0.3016306459903717,0.29082396626472473
752,752,752,0.09391287714242935,0.08385500311851501,0.09012427926063538,0.0835210531949997
369,369,369,0.16782057285308838,0.1576601266860962,0.16791032254695892,0.15544167160987854
696,696,696,0.17750488221645355,0.1672164350748062,0.17765220999717712,0.1670689880847931
49,49,49,0.29773852229118347,0.2873668372631073,0.2975403070449829,0.28686457872390747
818,818,818,0.1060974970459938,0.09539341181516647,0.10571041703224182,0.09569189697504044
648,648,648,0.24419716000556946,0.2334756702184677,0.2431497722864151,0.23393367230892181
155,155,155,0.35982978343963623,0.34907442331314087,0.358661949634552,0.35052332282066345
204,204,204,0.3604067862033844,0.3495861887931824,0.35727083683013916,0.34977054595947266
636,636,748,0.3711271584033966,0.360267698764801,0.3765038549900055,0.35274538397789
