ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
678,678,837,0.13930273056030273,0.13920480012893677,0.11422275751829147,0.09861837327480316
695,695,507,0.1384744793176651,0.13830184936523438,0.12162478268146515,0.1171802207827568
222,222,222,0.15910275280475616,0.15870586037635803,0.1503370851278305,0.14666558802127838
443,443,443,0.18272465467453003,0.1822139024734497,0.16974817216396332,0.12440438568592072
618,618,813,0.44878944754600525,0.44812527298927307,0.4552166163921356,0.4185948073863983
485,485,482,0.24006201326847076,0.23921255767345428,0.2349373698234558,0.23282091319561005
173,173,253,0.2538919746875763,0.25301021337509155,0.2398599535226822,0.22525925934314728
68,68,66,0.4153372645378113,0.41444382071495056,0.3918066620826721,0.3847300112247467
501,501,501,0.12342086434364319,0.12245636433362961,0.10326061397790909,0.09983804821968079
848,848,848,0.3572547137737274,0.35628604888916016,0.3540312647819519,0.34091466665267944
806,806,842,0.10690851509571075,0.10586360096931458,0.09480366855859756,0.09443753957748413
66,66,66,0.380869597196579,0.3796304762363434,0.37448665499687195,0.37320032715797424
845,845,828,0.40057164430618286,0.3993198275566101,0.3717953860759735,0.3503783941268921
202,202,202,0.27212175726890564,0.2707979679107666,0.2523127496242523,0.20607763528823853
74,74,74,0.24747997522354126,0.24614761769771576,0.23151512444019318,0.2197178602218628
710,710,767,0.3462362587451935,0.3444935977458954,0.33098962903022766,0.3262626528739929
891,891,415,0.16691121459007263,0.16505642235279083,0.14151214063167572,0.1401144564151764
428,428,428,0.15252462029457092,0.15052305161952972,0.13777415454387665,0.11816972494125366
541,541,542,0.3917575180530548,0.3894241750240326,0.37674152851104736,0.36265379190444946
711,711,903,0.19334231317043304,0.19068875908851624,0.15224236249923706,0.14648568630218506
711,711,503,0.13421130180358887,0.13151077926158905,0.13827095925807953,0.1157623678445816
124,124,124,0.3448490798473358,0.34214097261428833,0.3331553041934967,0.3281172215938568
348,348,349,0.44919562339782715,0.44628435373306274,0.4313086271286011,0.4280587136745453
541,541,541,0.14829890429973602,0.14498408138751984,0.12365981191396713,0.10931340605020523
858,858,858,0.13898827135562897,0.13565568625926971,0.13383857905864716,0.1325623244047165
909,909,868,0.2194060981273651,0.2159252166748047,0.21520154178142548,0.18068808317184448
634,634,634,0.10928986221551895,0.10569723695516586,0.10975828766822815,0.09638233482837677
926,926,926,0.41353440284729004,0.4096761643886566,0.4423728287220001,0.31069090962409973
965,965,965,0.42938777804374695,0.4254940152168274,0.42435187101364136,0.4155542552471161
529,529,876,0.2546362280845642,0.25066396594047546,0.2701224982738495,0.24771328270435333
311,311,311,0.4080926775932312,0.4039927124977112,0.40510740876197815,0.3894910514354706
541,541,541,0.1750001460313797,0.1707926094532013,0.196508526802063,0.14896778762340546
848,848,848,0.4344012439250946,0.43019118905067444,0.4248626232147217,0.4065380096435547
731,731,463,0.28750234842300415,0.2831524908542633,0.30326101183891296,0.2941994369029999
926,926,926,0.3115285634994507,0.3071732521057129,0.2869689464569092,0.25998660922050476
62,62,60,0.29810798168182373,0.29344022274017334,0.2631823718547821,0.23328322172164917
623,623,623,0.2593599259853363,0.254555881023407,0.2623751163482666,0.23895029723644257
664,664,664,0.3802306354045868,0.37542614340782166,0.3821726441383362,0.3676885664463043
987,987,998,0.45427393913269043,0.4494364559650421,0.4380456805229187,0.4240274429321289
926,926,544,0.22348791360855103,0.2185651808977127,0.2076845020055771,0.20365266501903534
587,587,587,0.2781282365322113,0.27304255962371826,0.2792506515979767,0.2513103783130646
264,264,263,0.4557657837867737,0.45061320066452026,0.45767131447792053,0.4362809360027313
660,660,660,0.3990238308906555,0.3936937749385834,0.35850387811660767,0.3523080050945282
843,843,843,0.42510977387428284,0.41969695687294006,0.39979425072669983,0.39436179399490356
725,725,899,0.4413440525531769,0.43591737747192383,0.4255853295326233,0.41440653800964355
923,923,923,0.17031458020210266,0.16475480794906616,0.1489686816930771,0.1473405361175537
656,656,757,0.3723205327987671,0.3665265440940857,0.34871336817741394,0.32060813903808594
229,229,202,0.37339767813682556,0.3673416078090668,0.35107704997062683,0.3386712670326233
478,478,838,0.07026443630456924,0.06420497596263885,0.0642869845032692,0.06354399025440216
884,884,884,0.3326002359390259,0.32627278566360474,0.3529472053050995,0.27439457178115845
698,698,832,0.40238067507743835,0.39593347907066345,0.3916008174419403,0.3628218173980713
638,638,638,0.4013916850090027,0.39494526386260986,0.4058104157447815,0.3724188804626465
623,623,777,0.3550625741481781,0.3477649390697479,0.30426284670829773,0.25587061047554016
524,524,524,0.35147106647491455,0.3440137803554535,0.34045881032943726,0.32485195994377136
836,836,836,0.21053075790405273,0.20302152633666992,0.20215868949890137,0.19268806278705597
