ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
678,678,678,0.13930273056030273,0.13920480012893677,0.12873660027980804,0.12654465436935425
695,695,695,0.1384744793176651,0.13830184936523438,0.1686297506093979,0.13648854196071625
222,222,258,0.15910275280475616,0.15870586037635803,0.20355737209320068,0.14919358491897583
443,443,618,0.18272465467453003,0.1822139024734497,0.19465458393096924,0.16836297512054443
618,618,813,0.44878944754600525,0.44812527298927307,0.5384191870689392,0.36586031317710876
485,485,485,0.24006201326847076,0.23921255767345428,0.2556922137737274,0.2290869504213333
173,173,173,0.2538919746875763,0.25301021337509155,0.272289901971817,0.24863867461681366
68,68,66,0.4153372645378113,0.41444382071495056,0.4109061062335968,0.3970628082752228
501,501,501,0.12342086434364319,0.12245636433362961,0.13150522112846375,0.08754023164510727
848,848,848,0.3572547137737274,0.35628604888916016,0.36313948035240173,0.35870450735092163
806,806,842,0.10690851509571075,0.10586360096931458,0.12674880027770996,0.086123526096344
66,66,66,0.380869597196579,0.3796304762363434,0.3993768095970154,0.37480464577674866
845,845,828,0.40057164430618286,0.3993198275566101,0.4406132698059082,0.3723975121974945
202,202,202,0.27212175726890564,0.2707979679107666,0.24968862533569336,0.2288757860660553
74,74,72,0.24747997522354126,0.24614761769771576,0.25579801201820374,0.2527983486652374
710,710,710,0.3462362587451935,0.3444935977458954,0.3916674554347992,0.2835272550582886
891,891,891,0.16691121459007263,0.16505642235279083,0.1892980933189392,0.1766771674156189
428,428,428,0.15252462029457092,0.15052305161952972,0.16721725463867188,0.12108702212572098
541,541,542,0.3917575180530548,0.3894241750240326,0.412518173456192,0.3584861159324646
711,711,711,0.19334231317043304,0.19068875908851624,0.30263105034828186,0.15438510477542877
711,711,503,0.13421130180358887,0.13151077926158905,0.12195140868425369,0.10199639201164246
124,124,123,0.3448490798473358,0.34214097261428833,0.3714809715747833,0.3315615653991699
348,348,348,0.44919562339782715,0.44628435373306274,0.46592551469802856,0.42715054750442505
541,541,541,0.14829890429973602,0.14498408138751984,0.18916533887386322,0.17935769259929657
858,858,858,0.13898827135562897,0.13565568625926971,0.1510704904794693,0.12447357922792435
909,909,909,0.2194060981273651,0.2159252166748047,0.23844458162784576,0.21176940202713013
634,634,634,0.10928986221551895,0.10569723695516586,0.1107587143778801,0.08948513120412827
926,926,909,0.41353440284729004,0.4096761643886566,0.43162697553634644,0.38389843702316284
965,965,965,0.42938777804374695,0.4254940152168274,0.4320320785045624,0.41603150963783264
529,529,529,0.2546362280845642,0.25066396594047546,0.3716089427471161,0.1522343009710312
311,311,311,0.4080926775932312,0.4039927124977112,0.43223387002944946,0.37664493918418884
541,541,843,0.1750001460313797,0.1707926094532013,0.19605381786823273,0.15226531028747559
848,848,848,0.4344012439250946,0.43019118905067444,0.43393242359161377,0.4314396381378174
731,731,731,0.28750234842300415,0.2831524908542633,0.32320526242256165,0.28719043731689453
926,926,926,0.3115285634994507,0.3071732521057129,0.36595723032951355,0.2735709547996521
62,62,62,0.29810798168182373,0.29344022274017334,0.29492905735969543,0.29428932070732117
623,623,623,0.2593599259853363,0.254555881023407,0.26813334226608276,0.24591399729251862
664,664,664,0.3802306354045868,0.37542614340782166,0.3838684856891632,0.37413063645362854
987,987,987,0.45427393913269043,0.4494364559650421,0.4649618864059448,0.4370717406272888
926,926,544,0.22348791360855103,0.2185651808977127,0.2143879532814026,0.21118095517158508
587,587,587,0.2781282365322113,0.27304255962371826,0.5438005924224854,0.15730710327625275
264,264,264,0.4557657837867737,0.45061320066452026,0.5082575082778931,0.40287119150161743
660,660,757,0.3990238308906555,0.3936937749385834,0.4023982584476471,0.38611188530921936
843,843,843,0.42510977387428284,0.41969695687294006,0.4542900621891022,0.38573157787323
725,725,725,0.4413440525531769,0.43591737747192383,0.439424604177475,0.4358939826488495
923,923,925,0.17031458020210266,0.16475480794906616,0.19749529659748077,0.1832219511270523
656,656,656,0.3723205327987671,0.3665265440940857,0.38201820850372314,0.33502864837646484
229,229,229,0.37339767813682556,0.3673416078090668,0.4076327681541443,0.3402535915374756
478,478,478,0.07026443630456924,0.06420497596263885,0.08732268959283829,0.060428135097026825
884,884,884,0.3326002359390259,0.32627278566360474,0.3350062072277069,0.30164405703544617
698,698,832,0.40238067507743835,0.39593347907066345,0.42437848448753357,0.3843003809452057
638,638,638,0.4013916850090027,0.39494526386260986,0.40364691615104675,0.38718003034591675
623,623,777,0.3550625741481781,0.3477649390697479,0.3846518099308014,0.29899927973747253
524,524,461,0.35147106647491455,0.3440137803554535,0.35197046399116516,0.345532089471817
836,836,837,0.21053075790405273,0.20302152633666992,0.26906123757362366,0.22665028274059296
639,639,639,0.4117390811443329,0.40418484807014465,0.42598092555999756,0.4242376387119293
740,740,740,0.41405653953552246,0.4064873158931732,0.43091994524002075,0.4030194580554962
817,817,751,0.42424747347831726,0.41659286618232727,0.42991870641708374,0.41618791222572327
968,968,504,0.44258007407188416,0.4347078502178192,0.44778671860694885,0.4188632667064667
848,848,848,0.2824256718158722,0.27444368600845337,0.28483104705810547,0.26724669337272644
113,113,113,0.3252604305744171,0.3172706663608551,0.3941743075847626,0.19172781705856323
751,751,751,0.38816574215888977,0.3800768256187439,0.36813998222351074,0.34276577830314636
358,358,358,0.38230645656585693,0.3742170035839081,0.3891173005104065,0.3624710440635681
473,473,473,0.20058752596378326,0.19246992468833923,0.23125024139881134,0.1628219038248062
453,453,495,0.41335824131965637,0.4050150215625763,0.459594190120697,0.34750398993492126
643,643,490,0.17227914929389954,0.1636180430650711,0.24588409066200256,0.14252477884292603
380,380,382,0.4216430187225342,0.4129462242126465,0.4393523037433624,0.40620774030685425
632,632,848,0.2469107210636139,0.23820553719997406,0.24696983397006989,0.22432444989681244
168,168,168,0.39136776328086853,0.38263750076293945,0.4351939857006073,0.33068764209747314
