ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
678,678,837,0.13930273056030273,0.13920480012893677,0.13974972069263458,0.13750314712524414
695,695,507,0.1384744793176651,0.13830184936523438,0.1412353217601776,0.14122051000595093
222,222,222,0.15910275280475616,0.15870586037635803,0.15809419751167297,0.15786375105381012
443,443,443,0.18272465467453003,0.1822139024734497,0.183762788772583,0.18118272721767426
618,618,618,0.44878944754600525,0.44812527298927307,0.4512072503566742,0.4454396069049835
485,485,485,0.24006201326847076,0.23921255767345428,0.23990334570407867,0.23946800827980042
173,173,173,0.2538919746875763,0.25301021337509155,0.25521767139434814,0.25256457924842834
68,68,68,0.4153372645378113,0.41444382071495056,0.41560181975364685,0.4143674671649933
501,501,501,0.12342086434364319,0.12245636433362961,0.12321528792381287,0.12314169108867645
848,848,848,0.3572547137737274,0.35628604888916016,0.35642826557159424,0.35553374886512756
806,806,806,0.10690851509571075,0.10586360096931458,0.1068899855017662,0.10651972889900208
66,66,66,0.380869597196579,0.3796304762363434,0.38124677538871765,0.37975773215293884
845,845,845,0.40057164430618286,0.3993198275566101,0.4028555154800415,0.3968621790409088
202,202,202,0.27212175726890564,0.2707979679107666,0.27287551760673523,0.26885488629341125
74,74,74,0.24747997522354126,0.24614761769771576,0.247297465801239,0.24446532130241394
710,710,710,0.3462362587451935,0.3444935977458954,0.3462676405906677,0.3447308838367462
891,891,891,0.16691121459007263,0.16505642235279083,0.16543573141098022,0.16459475457668304
428,428,428,0.15252462029457092,0.15052305161952972,0.15232743322849274,0.14891262352466583
541,541,542,0.3917575180530548,0.3894241750240326,0.39323529601097107,0.38848423957824707
711,711,711,0.19334231317043304,0.19068875908851624,0.19375883042812347,0.18901391327381134
711,711,711,0.13421130180358887,0.13151077926158905,0.13203193247318268,0.13061362504959106
124,124,124,0.3448490798473358,0.34214097261428833,0.34443962574005127,0.34400221705436707
348,348,348,0.44919562339782715,0.44628435373306274,0.4489368796348572,0.446604460477829
541,541,541,0.14829890429973602,0.14498408138751984,0.15018226206302643,0.14598223567008972
858,858,858,0.13898827135562897,0.13565568625926971,0.13893099129199982,0.13540102541446686
909,909,909,0.2194060981273651,0.2159252166748047,0.22113186120986938,0.2154214084148407
634,634,634,0.10928986221551895,0.10569723695516586,0.10948790609836578,0.10527367144823074
926,926,926,0.41353440284729004,0.4096761643886566,0.4138765037059784,0.4093434810638428
965,965,965,0.42938777804374695,0.4254940152168274,0.43049293756484985,0.4244214594364166
