ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
731,731,542,0.12511949241161346,0.12505018711090088,0.13014453649520874,0.11636313796043396
846,846,619,0.40392276644706726,0.403574675321579,0.40302857756614685,0.4022694230079651
60,60,60,0.21831361949443817,0.21782511472702026,0.22226710617542267,0.20906983315944672
295,295,357,0.3101786673069,0.30967843532562256,0.31367433071136475,0.3039654791355133
846,846,619,0.4334065020084381,0.43274733424186707,0.43596118688583374,0.4309268593788147
412,412,733,0.2557389438152313,0.25502729415893555,0.2550654411315918,0.24848178029060364
442,442,442,0.23228734731674194,0.23157534003257751,0.22843855619430542,0.22467462718486786
68,68,68,0.43390801548957825,0.433165043592453,0.4353797435760498,0.4305528998374939
788,788,788,0.2745642066001892,0.27370384335517883,0.27606916427612305,0.27274230122566223
589,589,662,0.2000754475593567,0.1992037445306778,0.2025521695613861,0.1929660141468048
151,151,157,0.4290948212146759,0.42817750573158264,0.44910725951194763,0.4056622385978699
948,948,948,0.22845345735549927,0.2273263782262802,0.23451665043830872,0.2236049771308899
407,407,407,0.3256700932979584,0.32448646426200867,0.32964420318603516,0.325120747089386
567,567,467,0.3610383868217468,0.35979703068733215,0.3614031672477722,0.3523269593715668
487,487,605,0.4222303032875061,0.42094412446022034,0.43455302715301514,0.4088602364063263
148,148,148,0.35094213485717773,0.3495577871799469,0.3632357120513916,0.35117655992507935
776,776,513,0.37706413865089417,0.37568187713623047,0.3832692801952362,0.3733438551425934
784,784,784,0.19678382575511932,0.1953662484884262,0.19937537610530853,0.18847115337848663
515,515,515,0.13715992867946625,0.1355561465024948,0.14515559375286102,0.13176050782203674
620,620,620,0.3741803765296936,0.3725554645061493,0.375821977853775,0.37261858582496643
478,478,478,0.20338015258312225,0.20174682140350342,0.22462224960327148,0.19113540649414062
613,613,613,0.22356048226356506,0.22168928384780884,0.22310708463191986,0.2153339385986328
747,747,417,0.1500297635793686,0.14815117418766022,0.15007384121418,0.14400695264339447
638,638,638,0.4336954355239868,0.43171998858451843,0.4329526722431183,0.4325094521045685
311,311,312,0.42576614022254944,0.42370277643203735,0.42852988839149475,0.4210223853588104
474,474,474,0.2826486825942993,0.28040552139282227,0.2885568141937256,0.27297443151474
442,442,663,0.3531639873981476,0.3507610261440277,0.3553237318992615,0.34871795773506165
434,434,709,0.17340555787086487,0.17095892131328583,0.18273219466209412,0.16784872114658356
68,68,66,0.4301985204219818,0.42769378423690796,0.43092286586761475,0.4268307387828827
622,622,622,0.17232325673103333,0.1695658266544342,0.16823884844779968,0.16176772117614746
423,423,424,0.44183263182640076,0.43890419602394104,0.44658195972442627,0.4353317320346832
379,379,379,0.39413008093833923,0.3910101652145386,0.39872071146965027,0.3849535286426544
764,764,764,0.38822439312934875,0.38505297899246216,0.3871390223503113,0.3848233222961426
448,448,448,0.3273453414440155,0.32404905557632446,0.3444468080997467,0.306002140045166
452,452,452,0.17767076194286346,0.1740240603685379,0.17406527698040009,0.16845503449440002
152,152,152,0.38807064294815063,0.383730411529541,0.392083078622818,0.38412439823150635
541,541,541,0.3644372522830963,0.3598664700984955,0.36349543929100037,0.3621499538421631
46,46,46,0.4460548460483551,0.44142988324165344,0.44405531883239746,0.44401973485946655
898,898,898,0.15050837397575378,0.14568370580673218,0.143588125705719,0.14196109771728516
512,512,512,0.4313473105430603,0.4264293313026428,0.4325231909751892,0.4248180687427521
595,595,595,0.3640793561935425,0.35913094878196716,0.36682283878326416,0.3532766103744507
638,638,639,0.3510061204433441,0.3459974229335785,0.35068294405937195,0.34625789523124695
341,341,341,0.33866795897483826,0.33346840739250183,0.3375052213668823,0.3342615067958832
817,817,511,0.30744242668151855,0.3019936680793762,0.31098154187202454,0.30992528796195984
784,784,740,0.30869677662849426,0.30316662788391113,0.3061176836490631,0.2926599979400635
983,983,691,0.061110928654670715,0.05557236820459366,0.05849046632647514,0.0573132261633873
348,348,348,0.43758445978164673,0.4320107698440552,0.4403141140937805,0.4294346868991852
639,639,639,0.43090566992759705,0.42528682947158813,0.4315970242023468,0.4242372512817383
737,737,737,0.40496376156806946,0.3992488980293274,0.4278452694416046,0.37446972727775574
651,651,651,0.3421476185321808,0.33639562129974365,0.3431343734264374,0.3348722457885742
189,189,191,0.22138825058937073,0.2155684530735016,0.2395336925983429,0.22537437081336975
660,660,660,0.23857423663139343,0.2327164113521576,0.23739084601402283,0.23344168066978455
689,689,689,0.4112238585948944,0.4052472412586212,0.4109940230846405,0.40499910712242126
903,903,903,0.3459499180316925,0.3399530053138733,0.344226211309433,0.34233951568603516
860,860,860,0.22085964679718018,0.21483050286769867,0.22891299426555634,0.21044664084911346
718,718,525,0.11744008213281631,0.11140188574790955,0.14226168394088745,0.09669173508882523
894,894,799,0.2585669755935669,0.2525215148925781,0.2604142427444458,0.25322258472442627
68,68,66,0.43346673250198364,0.4272819757461548,0.4325273633003235,0.4290320873260498
764,764,764,0.08204599469900131,0.07585817575454712,0.09264233708381653,0.06797067075967789
165,165,165,0.11796192079782486,0.1117410957813263,0.11885474622249603,0.112408846616745
527,527,527,0.2764463424682617,0.27018284797668457,0.27347421646118164,0.271183043718338
922,922,922,0.2130325436592102,0.20669887959957123,0.2199767678976059,0.20400898158550262
905,905,905,0.35024768114089966,0.34358254075050354,0.368647962808609,0.3256525993347168
469,469,469,0.3588695824146271,0.3521617650985718,0.3788759112358093,0.3334448039531708
744,744,744,0.45437315106391907,0.447652667760849,0.4544166028499603,0.4477578103542328
650,650,650,0.3944794833660126,0.3876601755619049,0.4046977758407593,0.37970608472824097
433,433,433,0.26960107684135437,0.26275256276130676,0.27490755915641785,0.2618391215801239
616,616,616,0.20559486746788025,0.19872254133224487,0.2116711288690567,0.19452127814292908
638,638,638,0.4292648434638977,0.42226162552833557,0.43090909719467163,0.42332398891448975
503,503,844,0.2881532311439514,0.28090789914131165,0.2976732850074768,0.2780952751636505
872,872,872,0.38078609108924866,0.37351521849632263,0.3862580955028534,0.368786484003067
761,761,605,0.3914443254470825,0.3838774859905243,0.3973151743412018,0.379780113697052
631,631,631,0.43259990215301514,0.4248667061328888,0.4298176169395447,0.4286517798900604
901,901,901,0.37095141410827637,0.36301881074905396,0.3783078193664551,0.3575688302516937
482,482,482,0.37684065103530884,0.3688679337501526,0.37456467747688293,0.3688219487667084
487,487,487,0.13482385873794556,0.12646454572677612,0.13606823980808258,0.12392162531614304
975,975,975,0.32790765166282654,0.31947243213653564,0.3326530456542969,0.318630188703537
413,413,465,0.3523109555244446,0.3437204957008362,0.355081170797348,0.3458205759525299
348,348,349,0.43312108516693115,0.4244336187839508,0.4309307336807251,0.4262613356113434
730,730,730,0.15686851739883423,0.14813841879367828,0.15037834644317627,0.14488455653190613
368,368,368,0.34963998198509216,0.34085139632225037,0.34836912155151367,0.3428422510623932
596,596,596,0.4193333685398102,0.4103706479072571,0.4591640830039978,0.37550973892211914
747,747,747,0.12841853499412537,0.11937176436185837,0.1356915980577469,0.10882391035556793
68,68,68,0.4387049376964569,0.42961156368255615,0.43826693296432495,0.4310038089752197
949,949,927,0.3311070203781128,0.3217480778694153,0.3313579261302948,0.32320234179496765
657,657,657,0.4601175785064697,0.4506904184818268,0.45719122886657715,0.4531974494457245
969,969,969,0.2323727011680603,0.22288459539413452,0.2382284253835678,0.21473349630832672
987,987,987,0.4046509265899658,0.3951335847377777,0.40680766105651855,0.39518746733665466
