ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
731,731,542,0.12512002885341644,0.12504971027374268,0.07861463725566864,0.07854348421096802
846,846,846,0.4039233922958374,0.40357452630996704,0.41432783007621765,0.3438984155654907
60,60,60,0.21831338107585907,0.21782632172107697,0.1917896866798401,0.15336912870407104
295,295,295,0.31017807126045227,0.309678852558136,0.3184840679168701,0.3093525469303131
846,846,619,0.4334065020084381,0.43274733424186707,0.4565456509590149,0.41025617718696594
412,412,412,0.25573939085006714,0.25502651929855347,0.17262709140777588,0.07658655941486359
442,442,698,0.23228734731674194,0.23157580196857452,0.24209262430667877,0.07137204706668854
68,68,66,0.4339083135128021,0.43316492438316345,0.4522232711315155,0.4227999150753021
788,788,774,0.27456340193748474,0.2737044394016266,0.2788323163986206,0.2768723964691162
589,589,589,0.2000761479139328,0.19920246303081512,0.20023193955421448,0.18809056282043457
151,151,157,0.4290952682495117,0.42817673087120056,0.48123443126678467,0.3882264792919159
948,948,948,0.22845330834388733,0.22732707858085632,0.2963089048862457,0.20788562297821045
407,407,407,0.3256707191467285,0.32448628544807434,0.3339303135871887,0.3098699748516083
567,567,467,0.361034631729126,0.3598005175590515,0.369047611951828,0.35149863362312317
487,487,487,0.4222293496131897,0.4209451973438263,0.4225417375564575,0.39889559149742126
148,148,148,0.35094285011291504,0.3495573103427887,0.38148367404937744,0.33694595098495483
776,776,776,0.3770669996738434,0.37567880749702454,0.37704727053642273,0.3755617141723633
784,784,823,0.1967850774526596,0.1953621804714203,0.17956320941448212,0.16576558351516724
515,515,515,0.13716010749340057,0.1355564445257187,0.21478287875652313,0.13729405403137207
620,620,620,0.3741809129714966,0.37255561351776123,0.38308560848236084,0.33084315061569214
478,478,868,0.20338113605976105,0.20174607634544373,0.27687719464302063,0.15251071751117706
613,613,613,0.22355976700782776,0.2216888964176178,0.22367650270462036,0.21109777688980103
747,747,417,0.1500302106142044,0.1481507122516632,0.13264496624469757,0.11375357955694199
638,638,639,0.43369579315185547,0.4317195415496826,0.45632117986679077,0.4169924259185791
311,311,312,0.42576614022254944,0.42370277643203735,0.4370596408843994,0.41950523853302
474,474,474,0.2826486825942993,0.2804053723812103,0.266311377286911,0.25251853466033936
442,442,663,0.3531636893749237,0.3507617115974426,0.3489471673965454,0.3487671911716461
434,434,893,0.17340564727783203,0.17095927894115448,0.12990061938762665,0.11946076154708862
68,68,66,0.4301983416080475,0.4276939928531647,0.4374276101589203,0.4271255433559418
622,622,720,0.17232362926006317,0.16956545412540436,0.23519210517406464,0.10704613476991653
423,423,423,0.44183245301246643,0.43890443444252014,0.4595945477485657,0.4216407239437103
379,379,379,0.3941288888454437,0.3910108804702759,0.3965199887752533,0.38793236017227173
764,764,413,0.3882242441177368,0.3850533664226532,0.39080044627189636,0.38116714358329773
448,448,637,0.327345609664917,0.3240486681461334,0.3430177867412567,0.30206745862960815
452,452,452,0.17766906321048737,0.17402496933937073,0.20393006503582,0.13378627598285675
152,152,157,0.38807106018066406,0.38373008370399475,0.40346354246139526,0.38720938563346863
541,541,541,0.3644385039806366,0.3598661422729492,0.44720056653022766,0.23196998238563538
46,46,40,0.4460553526878357,0.4414295554161072,0.453666627407074,0.4408319592475891
898,898,899,0.1505083441734314,0.1456831842660904,0.1368534117937088,0.13369524478912354
512,512,473,0.43134811520576477,0.426428884267807,0.44073814153671265,0.42519623041152954
595,595,595,0.3640800416469574,0.35912975668907166,0.3822016716003418,0.336002916097641
638,638,639,0.351006418466568,0.34599754214286804,0.3719886243343353,0.34623321890830994
341,341,341,0.33866801857948303,0.33346831798553467,0.3534614145755768,0.31863510608673096
817,817,817,0.30744120478630066,0.30199533700942993,0.32296884059906006,0.2921879291534424
784,784,784,0.3086964786052704,0.303166925907135,0.2725986838340759,0.25379663705825806
983,983,983,0.061110928654670715,0.0555722638964653,0.07091332972049713,0.06607205420732498
348,348,348,0.4375840127468109,0.43201112747192383,0.443619042634964,0.42819681763648987
639,639,638,0.43090564012527466,0.42528676986694336,0.4225139617919922,0.4173080325126648
737,737,898,0.4049641191959381,0.3992484509944916,0.45071861147880554,0.35432466864585876
651,651,651,0.3421478271484375,0.3363954722881317,0.35029909014701843,0.26407817006111145
189,189,191,0.22138825058937073,0.215566486120224,0.24234330654144287,0.2418169379234314
660,660,660,0.23857222497463226,0.23271678388118744,0.22793401777744293,0.2154068499803543
689,689,689,0.41122400760650635,0.4052472412586212,0.427457720041275,0.3662116229534149
903,903,903,0.3459497392177582,0.33995285630226135,0.34729650616645813,0.3339572250843048
860,860,919,0.22086003422737122,0.21483007073402405,0.20191816985607147,0.1856476366519928
718,718,525,0.11744018644094467,0.11140230298042297,0.13591325283050537,0.102882519364357
894,894,799,0.2585675120353699,0.25251978635787964,0.24540860950946808,0.19978663325309753
68,68,66,0.4334665536880493,0.4272822439670563,0.4511203467845917,0.4099396765232086
764,764,603,0.08204670995473862,0.07585833221673965,0.08018498122692108,0.05974171310663223
165,165,162,0.11796212941408157,0.11174129694700241,0.12663963437080383,0.1061338558793068
527,527,527,0.27644598484039307,0.27018263936042786,0.2602229118347168,0.2577056884765625
922,922,922,0.2130334973335266,0.20669881999492645,0.09469258785247803,0.017577651888132095
905,905,743,0.3502464294433594,0.3435831069946289,0.3838045597076416,0.19163314998149872
469,469,618,0.3588690161705017,0.3521622121334076,0.35761865973472595,0.32038697600364685
744,744,657,0.4543730914592743,0.4476526379585266,0.4791019856929779,0.4264339208602905
650,650,433,0.39447957277297974,0.3876597285270691,0.4109075963497162,0.31563255190849304
433,433,433,0.2696011960506439,0.2627521753311157,0.27060556411743164,0.25368547439575195
616,616,653,0.20559443533420563,0.19872315227985382,0.2316787838935852,0.15287628769874573
638,638,639,0.42926469445228577,0.4222618639469147,0.4378526508808136,0.40630802512168884
503,503,503,0.2881554663181305,0.28090688586235046,0.345161110162735,0.23464709520339966
872,872,759,0.38078629970550537,0.3735150694847107,0.37852850556373596,0.37801551818847656
761,761,605,0.39144444465637207,0.38387760519981384,0.4069628119468689,0.3713582158088684
631,631,838,0.43259942531585693,0.4248674213886261,0.429290771484375,0.4186062812805176
901,901,901,0.37095004320144653,0.3630200922489166,0.39107123017311096,0.32109978795051575
482,482,482,0.3768405318260193,0.3688681721687317,0.38053685426712036,0.37558087706565857
487,487,527,0.13482394814491272,0.1264646202325821,0.1507890820503235,0.1145772859454155
975,975,975,0.327906996011734,0.3194732964038849,0.3287762701511383,0.29657962918281555
413,413,465,0.35231053829193115,0.34372153878211975,0.3436598479747772,0.32812583446502686
348,348,348,0.43312105536460876,0.42443355917930603,0.43466687202453613,0.4280218482017517
730,730,730,0.1568698137998581,0.14813822507858276,0.16027303040027618,0.1357913762331009
368,368,368,0.3496403992176056,0.34085148572921753,0.36383965611457825,0.3321654498577118
596,596,596,0.41933006048202515,0.41037365794181824,0.39211687445640564,0.34811100363731384
747,747,747,0.1284177303314209,0.11937052011489868,0.11669845879077911,0.08159764856100082
68,68,66,0.4387049376964569,0.42961156368255615,0.43781226873397827,0.43049463629722595
949,949,927,0.33110618591308594,0.321748822927475,0.32603919506073,0.31906014680862427
657,657,657,0.4601175785064697,0.4506904184818268,0.4709942936897278,0.4471617341041565
969,969,969,0.23237280547618866,0.22288542985916138,0.26104792952537537,0.2128353863954544
987,987,998,0.40465155243873596,0.3951323330402374,0.42162296175956726,0.3910745084285736
46,46,46,0.4439571797847748,0.4342684745788574,0.45004990696907043,0.431105375289917
