ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
731,731,542,0.12512002885341644,0.12504971027374268,0.13003194332122803,0.12562017142772675
846,846,846,0.4039233922958374,0.40357452630996704,0.4035230278968811,0.4034118354320526
60,60,67,0.21831338107585907,0.21782632172107697,0.21803802251815796,0.21751195192337036
295,295,295,0.31017807126045227,0.309678852558136,0.31122687458992004,0.3089107573032379
846,846,846,0.4334065020084381,0.43274733424186707,0.4337162375450134,0.432379812002182
412,412,412,0.25573939085006714,0.25502651929855347,0.2572193145751953,0.2540270686149597
442,442,442,0.23228734731674194,0.23157580196857452,0.2332552820444107,0.2306426614522934
68,68,68,0.4339083135128021,0.43316492438316345,0.4339451193809509,0.4331281781196594
788,788,774,0.27456340193748474,0.2737044394016266,0.27434241771698,0.2743084132671356
589,589,589,0.2000761479139328,0.19920246303081512,0.2018008530139923,0.19625194370746613
151,151,151,0.4290952682495117,0.42817673087120056,0.4287542700767517,0.42848527431488037
948,948,948,0.22845330834388733,0.22732707858085632,0.2286033183336258,0.22773098945617676
407,407,407,0.3256707191467285,0.32448628544807434,0.3253893256187439,0.32477858662605286
567,567,567,0.361034631729126,0.3598005175590515,0.3609430491924286,0.35958096385002136
487,487,605,0.4222293496131897,0.4209451973438263,0.42188161611557007,0.42133280634880066
148,148,147,0.35094285011291504,0.3495573103427887,0.3504519760608673,0.3501558303833008
776,776,776,0.3770669996738434,0.37567880749702454,0.37702712416648865,0.37579798698425293
784,784,784,0.1967850774526596,0.1953621804714203,0.19652961194515228,0.19503609836101532
515,515,515,0.13716010749340057,0.1355564445257187,0.13717471063137054,0.13585977256298065
620,620,620,0.3741809129714966,0.37255561351776123,0.3738497197628021,0.37263238430023193
478,478,478,0.20338113605976105,0.20174607634544373,0.20691771805286407,0.19863834977149963
613,613,613,0.22355976700782776,0.2216888964176178,0.22242604196071625,0.22182369232177734
747,747,747,0.1500302106142044,0.1481507122516632,0.149732306599617,0.1475038081407547
638,638,638,0.43369579315185547,0.4317195415496826,0.43377336859703064,0.4315234422683716
311,311,311,0.42576614022254944,0.42370277643203735,0.4265487790107727,0.42294931411743164
474,474,474,0.2826486825942993,0.2804053723812103,0.28202757239341736,0.28112393617630005
442,442,442,0.3531636893749237,0.3507617115974426,0.35319703817367554,0.3513920307159424
434,434,434,0.17340564727783203,0.17095927894115448,0.1761160045862198,0.16961659491062164
68,68,68,0.4301983416080475,0.4276939928531647,0.43006566166877747,0.4278056025505066
622,622,622,0.17232362926006317,0.16956545412540436,0.17320558428764343,0.1700214296579361
423,423,423,0.44183245301246643,0.43890443444252014,0.44175389409065247,0.43925392627716064
379,379,379,0.3941288888454437,0.3910108804702759,0.39428699016571045,0.3909926116466522
764,764,764,0.3882242441177368,0.3850533664226532,0.3882998526096344,0.38519394397735596
448,448,448,0.327345609664917,0.3240486681461334,0.33957648277282715,0.31736883521080017
452,452,452,0.17766906321048737,0.17402496933937073,0.17644521594047546,0.17475834488868713
152,152,152,0.38807106018066406,0.38373008370399475,0.3883586823940277,0.38365045189857483
541,541,541,0.3644385039806366,0.3598661422729492,0.36434176564216614,0.3602719306945801
46,46,46,0.4460553526878357,0.4414295554161072,0.4459361433982849,0.44158393144607544
898,898,898,0.1505083441734314,0.1456831842660904,0.15159133076667786,0.14619885385036469
512,512,512,0.43134811520576477,0.426428884267807,0.4305552542209625,0.42728859186172485
595,595,595,0.3640800416469574,0.35912975668907166,0.36407169699668884,0.35937848687171936
638,638,638,0.351006418466568,0.34599754214286804,0.3510712683200836,0.345900297164917
