ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
731,731,542,0.12512002885341644,0.12504971027374268,0.12589433789253235,0.10686654597520828
846,846,619,0.4039233922958374,0.40357452630996704,0.4200977683067322,0.38110223412513733
60,60,60,0.21831338107585907,0.21782632172107697,0.24448741972446442,0.2071077823638916
295,295,295,0.31017807126045227,0.309678852558136,0.37850823998451233,0.2541455924510956
846,846,846,0.4334065020084381,0.43274733424186707,0.44028300046920776,0.43036776781082153
412,412,412,0.25573939085006714,0.25502651929855347,0.2508431673049927,0.23148877918720245
442,442,442,0.23228734731674194,0.23157580196857452,0.21916627883911133,0.2003820836544037
68,68,66,0.4339083135128021,0.43316492438316345,0.4365265369415283,0.429844468832016
788,788,774,0.27456340193748474,0.2737044394016266,0.27436742186546326,0.2574272155761719
589,589,662,0.2000761479139328,0.19920246303081512,0.2403113842010498,0.16956111788749695
151,151,157,0.4290952682495117,0.42817673087120056,0.43513110280036926,0.4265228807926178
948,948,948,0.22845330834388733,0.22732707858085632,0.2782447040081024,0.21195577085018158
407,407,555,0.3256707191467285,0.32448628544807434,0.3397983908653259,0.31527405977249146
567,567,567,0.361034631729126,0.3598005175590515,0.3865717351436615,0.32290762662887573
487,487,605,0.4222293496131897,0.4209451973438263,0.4233115315437317,0.4225967824459076
148,148,147,0.35094285011291504,0.3495573103427887,0.3790108859539032,0.3184494078159332
776,776,776,0.3770669996738434,0.37567880749702454,0.3812550902366638,0.3704087734222412
784,784,902,0.1967850774526596,0.1953621804714203,0.2769768238067627,0.19405782222747803
515,515,808,0.13716010749340057,0.1355564445257187,0.17062397301197052,0.13956628739833832
620,620,681,0.3741809129714966,0.37255561351776123,0.38682207465171814,0.33640310168266296
478,478,868,0.20338113605976105,0.20174607634544373,0.23563918471336365,0.22976072132587433
613,613,650,0.22355976700782776,0.2216888964176178,0.22072449326515198,0.21962276101112366
747,747,417,0.1500302106142044,0.1481507122516632,0.11400353163480759,0.0929810181260109
638,638,638,0.43369579315185547,0.4317195415496826,0.43436500430107117,0.42821192741394043
311,311,312,0.42576614022254944,0.42370277643203735,0.4443402886390686,0.40912219882011414
474,474,474,0.2826486825942993,0.2804053723812103,0.26294782757759094,0.2562117576599121
442,442,663,0.3531636893749237,0.3507617115974426,0.3414616584777832,0.3385845720767975
434,434,434,0.17340564727783203,0.17095927894115448,0.20041774213314056,0.12872295081615448
68,68,68,0.4301983416080475,0.4276939928531647,0.42996475100517273,0.42951393127441406
622,622,622,0.17232362926006317,0.16956545412540436,0.2114369124174118,0.10641099512577057
423,423,424,0.44183245301246643,0.43890443444252014,0.44275879859924316,0.4385095238685608
379,379,384,0.3941288888454437,0.3910108804702759,0.4035136103630066,0.377938836812973
764,764,764,0.3882242441177368,0.3850533664226532,0.3995135426521301,0.3764858543872833
448,448,637,0.327345609664917,0.3240486681461334,0.3553229868412018,0.3021344244480133
452,452,679,0.17766906321048737,0.17402496933937073,0.17760905623435974,0.17079412937164307
152,152,152,0.38807106018066406,0.38373008370399475,0.3896450698375702,0.3880499303340912
541,541,541,0.3644385039806366,0.3598661422729492,0.38488271832466125,0.3308212459087372
46,46,46,0.4460553526878357,0.4414295554161072,0.4495132565498352,0.4443017244338989
898,898,898,0.1505083441734314,0.1456831842660904,0.1505841612815857,0.1409042477607727
512,512,512,0.43134811520576477,0.426428884267807,0.4417925179004669,0.41252660751342773
595,595,595,0.3640800416469574,0.35912975668907166,0.3639053702354431,0.3579052984714508
638,638,639,0.351006418466568,0.34599754214286804,0.36491671204566956,0.3544885218143463
341,341,341,0.33866801857948303,0.33346831798553467,0.3313590884208679,0.33124929666519165
817,817,817,0.30744120478630066,0.30199533700942993,0.3110285997390747,0.2928745150566101
784,784,784,0.3086964786052704,0.303166925907135,0.3576591908931732,0.3074183464050293
983,983,983,0.061110928654670715,0.0555722638964653,0.0627177357673645,0.059703342616558075
348,348,349,0.4375840127468109,0.43201112747192383,0.43900927901268005,0.4339108169078827
639,639,639,0.43090564012527466,0.42528676986694336,0.441625714302063,0.4113406240940094
737,737,898,0.4049641191959381,0.3992484509944916,0.45623651146888733,0.36666905879974365
651,651,651,0.3421478271484375,0.3363954722881317,0.34042006731033325,0.3288370668888092
189,189,191,0.22138825058937073,0.215566486120224,0.22158755362033844,0.19885799288749695
660,660,660,0.23857222497463226,0.23271678388118744,0.23062051832675934,0.22006750106811523
689,689,601,0.41122400760650635,0.4052472412586212,0.42064812779426575,0.3942049741744995
903,903,903,0.3459497392177582,0.33995285630226135,0.3433874845504761,0.3359334468841553
860,860,860,0.22086003422737122,0.21483007073402405,0.21878349781036377,0.21569456160068512
718,718,718,0.11744018644094467,0.11140230298042297,0.11600997298955917,0.11100687086582184
894,894,799,0.2585675120353699,0.25251978635787964,0.22941303253173828,0.22724469006061554
68,68,66,0.4334665536880493,0.4272822439670563,0.43075892329216003,0.426018625497818
764,764,603,0.08204670995473862,0.07585833221673965,0.0973583310842514,0.06637153774499893
165,165,165,0.11796212941408157,0.11174129694700241,0.11345718055963516,0.10976780951023102
527,527,508,0.27644598484039307,0.27018263936042786,0.2891821265220642,0.26213139295578003
922,922,851,0.2130334973335266,0.20669881999492645,0.18999329209327698,0.17583249509334564
905,905,905,0.3502464294433594,0.3435831069946289,0.32934194803237915,0.20885561406612396
469,469,469,0.3588690161705017,0.3521622121334076,0.4098583161830902,0.25718599557876587
744,744,657,0.4543730914592743,0.4476526379585266,0.4583251476287842,0.44133904576301575
650,650,650,0.39447957277297974,0.3876597285270691,0.39553773403167725,0.35728371143341064
433,433,639,0.2696011960506439,0.2627521753311157,0.25999847054481506,0.25464242696762085
616,616,653,0.20559443533420563,0.19872315227985382,0.23001955449581146,0.1612110137939453
638,638,638,0.42926469445228577,0.4222618639469147,0.43143028020858765,0.42275452613830566
503,503,503,0.2881554663181305,0.28090688586235046,0.3297659456729889,0.2544216215610504
872,872,872,0.38078629970550537,0.3735150694847107,0.37728098034858704,0.376857727766037
761,761,605,0.39144444465637207,0.38387760519981384,0.3995644152164459,0.37043076753616333
631,631,631,0.43259942531585693,0.4248674213886261,0.4389209449291229,0.4200785756111145
901,901,725,0.37095004320144653,0.3630200922489166,0.38380166888237,0.3235582411289215
482,482,482,0.3768405318260193,0.3688681721687317,0.38965514302253723,0.3594417870044708
487,487,487,0.13482394814491272,0.1264646202325821,0.14003349840641022,0.13827528059482574
975,975,703,0.327906996011734,0.3194732964038849,0.3502572178840637,0.3251226544380188
413,413,413,0.35231053829193115,0.34372153878211975,0.3466632664203644,0.33517828583717346
348,348,349,0.43312105536460876,0.42443355917930603,0.42938852310180664,0.4227069020271301
730,730,730,0.1568698137998581,0.14813822507858276,0.14119166135787964,0.1374855488538742
368,368,374,0.3496403992176056,0.34085148572921753,0.3437231481075287,0.34351015090942383
596,596,807,0.41933006048202515,0.41037365794181824,0.43710801005363464,0.38803109526634216
747,747,412,0.1284177303314209,0.11937052011489868,0.11560310423374176,0.10778410732746124
68,68,66,0.4387049376964569,0.42961156368255615,0.445771723985672,0.42521190643310547
949,949,949,0.33110618591308594,0.321748822927475,0.3261677026748657,0.3228732645511627
657,657,657,0.4601175785064697,0.4506904184818268,0.4643350839614868,0.44622868299484253
969,969,969,0.23237280547618866,0.22288542985916138,0.23560276627540588,0.2013753354549408
987,987,998,0.40465155243873596,0.3951323330402374,0.40274035930633545,0.39014726877212524
46,46,46,0.4439571797847748,0.4342684745788574,0.4596812427043915,0.4131995737552643
271,271,271,0.39053598046302795,0.3807702660560608,0.39552825689315796,0.3752683699131012
193,193,193,0.2514764666557312,0.24170595407485962,0.26330217719078064,0.23693117499351501
505,505,505,0.17709995806217194,0.16726185381412506,0.15502218902111053,0.1476595103740692
433,433,474,0.26535871624946594,0.2554754614830017,0.2546124756336212,0.20250952243804932
68,68,68,0.42916274070739746,0.4192715883255005,0.43125417828559875,0.4156699776649475
