ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
731,731,542,0.12512002885341644,0.12504971027374268,0.1296631395816803,0.09641914814710617
846,846,846,0.4039233922958374,0.40357452630996704,0.3703983426094055,0.36293864250183105
60,60,67,0.21831338107585907,0.21782632172107697,0.21516188979148865,0.19895561039447784
295,295,295,0.31017807126045227,0.309678852558136,0.32719504833221436,0.32571884989738464
846,846,619,0.4334065020084381,0.43274733424186707,0.3948811888694763,0.39477333426475525
412,412,733,0.25573939085006714,0.25502651929855347,0.2372540831565857,0.23490776121616364
442,442,698,0.23228734731674194,0.23157580196857452,0.2504492402076721,0.22405540943145752
68,68,68,0.4339083135128021,0.43316492438316345,0.45557811856269836,0.35518884658813477
788,788,788,0.27456340193748474,0.2737044394016266,0.27516278624534607,0.2728613615036011
589,589,589,0.2000761479139328,0.19920246303081512,0.1973678320646286,0.19644290208816528
151,151,151,0.4290952682495117,0.42817673087120056,0.4623335599899292,0.3797112703323364
948,948,948,0.22845330834388733,0.22732707858085632,0.2360401749610901,0.20816977322101593
407,407,555,0.3256707191467285,0.32448628544807434,0.33112698793411255,0.3210972547531128
567,567,467,0.361034631729126,0.3598005175590515,0.36312994360923767,0.29430150985717773
487,487,605,0.4222293496131897,0.4209451973438263,0.414191335439682,0.411356657743454
148,148,148,0.35094285011291504,0.3495573103427887,0.3665274977684021,0.3226378858089447
776,776,513,0.3770669996738434,0.37567880749702454,0.35764792561531067,0.35585832595825195
784,784,902,0.1967850774526596,0.1953621804714203,0.20480464398860931,0.19186368584632874
515,515,515,0.13716010749340057,0.1355564445257187,0.15988385677337646,0.14290127158164978
620,620,620,0.3741809129714966,0.37255561351776123,0.3583813011646271,0.3367997407913208
478,478,868,0.20338113605976105,0.20174607634544373,0.18437732756137848,0.18138645589351654
613,613,613,0.22355976700782776,0.2216888964176178,0.18623581528663635,0.1821437031030655
747,747,747,0.1500302106142044,0.1481507122516632,0.11171677708625793,0.10744506865739822
638,638,639,0.43369579315185547,0.4317195415496826,0.41982197761535645,0.4186097979545593
311,311,311,0.42576614022254944,0.42370277643203735,0.5296289324760437,0.3061247169971466
474,474,911,0.2826486825942993,0.2804053723812103,0.2560858428478241,0.22188511490821838
442,442,442,0.3531636893749237,0.3507617115974426,0.3348148465156555,0.31919509172439575
434,434,709,0.17340564727783203,0.17095927894115448,0.1774471402168274,0.17434681951999664
68,68,68,0.4301983416080475,0.4276939928531647,0.44392597675323486,0.3845570385456085
622,622,622,0.17232362926006317,0.16956545412540436,0.17167264223098755,0.17073798179626465
423,423,424,0.44183245301246643,0.43890443444252014,0.42973148822784424,0.39998331665992737
379,379,384,0.3941288888454437,0.3910108804702759,0.40377628803253174,0.3858046233654022
764,764,764,0.3882242441177368,0.3850533664226532,0.3946552872657776,0.36468610167503357
448,448,637,0.327345609664917,0.3240486681461334,0.3656955659389496,0.2849341332912445
452,452,679,0.17766906321048737,0.17402496933937073,0.18271930515766144,0.18147596716880798
152,152,157,0.38807106018066406,0.38373008370399475,0.3926425278186798,0.385622501373291
541,541,541,0.3644385039806366,0.3598661422729492,0.4010660648345947,0.33945807814598083
46,46,46,0.4460553526878357,0.4414295554161072,0.4472077190876007,0.44044700264930725
898,898,899,0.1505083441734314,0.1456831842660904,0.14009393751621246,0.13202355802059174
512,512,512,0.43134811520576477,0.426428884267807,0.43130195140838623,0.42755675315856934
595,595,595,0.3640800416469574,0.35912975668907166,0.3596545457839966,0.3454887270927429
638,638,639,0.351006418466568,0.34599754214286804,0.3412449061870575,0.33065304160118103
341,341,341,0.33866801857948303,0.33346831798553467,0.3455987870693207,0.3309558629989624
817,817,511,0.30744120478630066,0.30199533700942993,0.3066352605819702,0.3034741282463074
784,784,740,0.3086964786052704,0.303166925907135,0.3011960983276367,0.2871323823928833
983,983,983,0.061110928654670715,0.0555722638964653,0.06299995630979538,0.05869842693209648
348,348,349,0.4375840127468109,0.43201112747192383,0.47464853525161743,0.3946749269962311
639,639,639,0.43090564012527466,0.42528676986694336,0.4311179220676422,0.4164363741874695
737,737,737,0.4049641191959381,0.3992484509944916,0.3627978563308716,0.3592096269130707
651,651,651,0.3421478271484375,0.3363954722881317,0.33998721837997437,0.3386748135089874
189,189,189,0.22138825058937073,0.215566486120224,0.19351771473884583,0.19325342774391174
660,660,913,0.23857222497463226,0.23271678388118744,0.21370625495910645,0.21157817542552948
689,689,601,0.41122400760650635,0.4052472412586212,0.40829145908355713,0.4030906558036804
903,903,903,0.3459497392177582,0.33995285630226135,0.35033345222473145,0.33678436279296875
860,860,919,0.22086003422737122,0.21483007073402405,0.23349103331565857,0.16983133554458618
718,718,718,0.11744018644094467,0.11140230298042297,0.11122618615627289,0.10568895190954208
894,894,799,0.2585675120353699,0.25251978635787964,0.29155316948890686,0.22756075859069824
68,68,68,0.4334665536880493,0.4272822439670563,0.4502771198749542,0.30825620889663696
764,764,603,0.08204670995473862,0.07585833221673965,0.1075294241309166,0.07755953073501587
165,165,165,0.11796212941408157,0.11174129694700241,0.12385233491659164,0.11249294877052307
527,527,527,0.27644598484039307,0.27018263936042786,0.3527238368988037,0.2189650684595108
922,922,851,0.2130334973335266,0.20669881999492645,0.2591051161289215,0.15831370651721954
905,905,905,0.3502464294433594,0.3435831069946289,0.34312763810157776,0.3237443268299103
469,469,469,0.3588690161705017,0.3521622121334076,0.35879620909690857,0.3522603511810303
744,744,744,0.4543730914592743,0.4476526379585266,0.43117982149124146,0.4297126829624176
650,650,650,0.39447957277297974,0.3876597285270691,0.4033237099647522,0.3772983253002167
433,433,433,0.2696011960506439,0.2627521753311157,0.2815300226211548,0.25192004442214966
616,616,616,0.20559443533420563,0.19872315227985382,0.2094385176897049,0.15690977871418
638,638,639,0.42926469445228577,0.4222618639469147,0.4170738458633423,0.40297776460647583
503,503,503,0.2881554663181305,0.28090688586235046,0.28752997517585754,0.28075069189071655
872,872,759,0.38078629970550537,0.3735150694847107,0.4148482084274292,0.3235035538673401
761,761,605,0.39144444465637207,0.38387760519981384,0.39051350951194763,0.379271924495697
631,631,631,0.43259942531585693,0.4248674213886261,0.43458953499794006,0.42420095205307007
901,901,901,0.37095004320144653,0.3630200922489166,0.34608709812164307,0.33533310890197754
482,482,482,0.3768405318260193,0.3688681721687317,0.3961467146873474,0.3065205514431
487,487,527,0.13482394814491272,0.1264646202325821,0.15626060962677002,0.12273887544870377
975,975,975,0.327906996011734,0.3194732964038849,0.3193678557872772,0.3155786097049713
413,413,465,0.35231053829193115,0.34372153878211975,0.35499173402786255,0.34522029757499695
348,348,349,0.43312105536460876,0.42443355917930603,0.49631112813949585,0.35081368684768677
730,730,730,0.1568698137998581,0.14813822507858276,0.15063251554965973,0.13700233399868011
368,368,368,0.3496403992176056,0.34085148572921753,0.32439228892326355,0.3132052719593048
596,596,596,0.41933006048202515,0.41037365794181824,0.3940700888633728,0.37828493118286133
747,747,412,0.1284177303314209,0.11937052011489868,0.13985970616340637,0.11660078167915344
68,68,68,0.4387049376964569,0.42961156368255615,0.42191895842552185,0.4058646559715271
949,949,949,0.33110618591308594,0.321748822927475,0.3283279240131378,0.325664758682251
657,657,744,0.4601175785064697,0.4506904184818268,0.47089308500289917,0.44027474522590637
969,969,969,0.23237280547618866,0.22288542985916138,0.238256573677063,0.22324544191360474
987,987,987,0.40465155243873596,0.3951323330402374,0.4141848385334015,0.3990766108036041
46,46,40,0.4439571797847748,0.4342684745788574,0.4487478733062744,0.4261710047721863
271,271,269,0.39053598046302795,0.3807702660560608,0.380344420671463,0.37559613585472107
193,193,201,0.2514764666557312,0.24170595407485962,0.26383042335510254,0.17850953340530396
505,505,505,0.17709995806217194,0.16726185381412506,0.18180906772613525,0.16193975508213043
433,433,433,0.26535871624946594,0.2554754614830017,0.24560032784938812,0.23865239322185516
68,68,68,0.42916274070739746,0.4192715883255005,0.4260687530040741,0.2664102017879486
44,44,44,0.19988398253917694,0.189848393201828,0.18043813109397888,0.1780686378479004
976,976,972,0.40980443358421326,0.3997505009174347,0.46306541562080383,0.36989825963974
706,706,831,0.33307451009750366,0.3229808509349823,0.3819192945957184,0.24735024571418762
651,651,651,0.2624915838241577,0.2522208094596863,0.2690645158290863,0.24275776743888855
